Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_600V_5.avi:0.07 s,0.033,1.301,0.986,0.267,0.158,40.342
2,1N4148WS_600V_5.avi:0.13 s,0.033,1.301,0.986,0.267,0.159,40.312
3,1N4148WS_600V_5.avi:0.20 s,0.033,1.301,0.986,0.266,0.158,40.399
4,1N4148WS_600V_5.avi:0.27 s,0.033,1.301,0.986,0.266,0.158,40.120
5,1N4148WS_600V_5.avi:0.33 s,0.033,1.301,0.986,0.266,0.158,40.399
6,1N4148WS_600V_5.avi:0.40 s,0.033,1.301,0.986,0.266,0.158,40.286
7,1N4148WS_600V_5.avi:0.47 s,0.033,1.301,0.985,0.266,0.158,40.522
8,1N4148WS_600V_5.avi:0.53 s,0.033,1.301,0.986,0.266,0.158,40.436
9,1N4148WS_600V_5.avi:0.60 s,0.033,1.301,0.986,0.266,0.158,40.399
10,1N4148WS_600V_5.avi:0.67 s,0.033,1.301,0.986,0.266,0.158,40.458
11,1N4148WS_600V_5.avi:0.73 s,0.033,1.301,0.986,0.266,0.158,40.419
12,1N4148WS_600V_5.avi:0.80 s,0.033,1.301,0.986,0.266,0.158,40.253
13,1N4148WS_600V_5.avi:0.87 s,0.033,1.301,0.986,0.266,0.158,40.486
14,1N4148WS_600V_5.avi:0.93 s,0.033,1.301,0.986,0.267,0.158,40.463
15,1N4148WS_600V_5.avi:1.00 s,0.033,1.301,0.986,0.266,0.159,40.319
16,1N4148WS_600V_5.avi:1.07 s,0.033,1.302,0.986,0.266,0.158,40.610
17,1N4148WS_600V_5.avi:1.13 s,0.033,1.301,0.986,0.265,0.159,40.512
18,1N4148WS_600V_5.avi:1.20 s,0.033,1.301,0.986,0.266,0.159,40.331
19,1N4148WS_600V_5.avi:1.27 s,0.033,1.301,0.986,0.266,0.158,40.277
20,1N4148WS_600V_5.avi:1.33 s,0.033,1.301,0.986,0.267,0.158,40.234
21,1N4148WS_600V_5.avi:1.40 s,0.033,1.301,0.985,0.266,0.159,40.486
