Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_400V_1.avi:0.10 s,0.034,1.289,0.842,0.264,0.164,75.206
2,1N4148WS_400V_1.avi:0.20 s,0.034,1.288,0.842,0.264,0.164,75.160
3,1N4148WS_400V_1.avi:0.30 s,0.034,1.288,0.842,0.263,0.165,75.335
4,1N4148WS_400V_1.avi:0.40 s,0.034,1.288,0.842,0.263,0.164,75.352
5,1N4148WS_400V_1.avi:0.50 s,0.034,1.288,0.842,0.262,0.164,75.312
6,1N4148WS_400V_1.avi:0.60 s,0.034,1.288,0.842,0.262,0.164,75.480
7,1N4148WS_400V_1.avi:0.70 s,0.034,1.289,0.842,0.262,0.165,75.298
8,1N4148WS_400V_1.avi:0.80 s,0.034,1.288,0.842,0.263,0.165,75.366
9,1N4148WS_400V_1.avi:0.90 s,0.034,1.288,0.842,0.262,0.164,75.281
10,1N4148WS_400V_1.avi:1.00 s,0.034,1.288,0.842,0.262,0.165,75.187
11,1N4148WS_400V_1.avi:1.10 s,0.034,1.288,0.842,0.263,0.165,75.482
12,1N4148WS_400V_1.avi:1.20 s,0.034,1.288,0.842,0.262,0.165,75.384
13,1N4148WS_400V_1.avi:1.30 s,0.034,1.288,0.842,0.262,0.164,75.207
14,1N4148WS_400V_1.avi:1.40 s,0.034,1.288,0.842,0.263,0.165,75.519
15,1N4148WS_400V_1.avi:1.50 s,0.034,1.288,0.842,0.263,0.164,75.072
16,1N4148WS_400V_1.avi:1.60 s,0.034,1.288,0.842,0.261,0.164,74.875
17,1N4148WS_400V_1.avi:1.70 s,0.034,1.288,0.842,0.263,0.165,75.551
18,1N4148WS_400V_1.avi:1.80 s,0.034,1.288,0.842,0.263,0.165,75.229
19,1N4148WS_400V_1.avi:1.90 s,0.034,1.288,0.842,0.263,0.164,75.550
20,1N4148WS_400V_1.avi:2.00 s,0.034,1.288,0.842,0.263,0.164,75.540
21,1N4148WS_400V_1.avi:2.10 s,0.034,1.288,0.842,0.262,0.165,75.468
22,1N4148WS_400V_1.avi:2.20 s,0.034,1.289,0.842,0.262,0.165,75.288
23,1N4148WS_400V_1.avi:2.30 s,0.034,1.288,0.842,0.263,0.165,75.705
24,1N4148WS_400V_1.avi:2.40 s,0.034,1.288,0.841,0.262,0.165,75.160
25,1N4148WS_400V_1.avi:2.50 s,0.034,1.288,0.842,0.263,0.165,75.381
26,1N4148WS_400V_1.avi:2.60 s,0.034,1.288,0.841,0.262,0.164,75.451
27,1N4148WS_400V_1.avi:2.70 s,0.034,1.289,0.842,0.263,0.165,75.460
28,1N4148WS_400V_1.avi:2.80 s,0.034,1.288,0.841,0.263,0.165,75.510
29,1N4148WS_400V_1.avi:2.90 s,0.034,1.288,0.841,0.263,0.165,75.455
30,1N4148WS_400V_1.avi:3.00 s,0.034,1.288,0.842,0.263,0.165,75.250
31,1N4148WS_400V_1.avi:3.10 s,0.034,1.288,0.841,0.262,0.164,75.451
32,1N4148WS_400V_1.avi:3.20 s,0.034,1.288,0.842,0.262,0.165,75.749
33,1N4148WS_400V_1.avi:3.30 s,0.034,1.288,0.841,0.262,0.164,75.522
34,1N4148WS_400V_1.avi:3.40 s,0.034,1.288,0.842,0.263,0.165,75.462
35,1N4148WS_400V_1.avi:3.50 s,0.034,1.288,0.842,0.262,0.165,75.879
36,1N4148WS_400V_1.avi:3.60 s,0.034,1.288,0.842,0.261,0.165,75.675
37,1N4148WS_400V_1.avi:3.70 s,0.034,1.288,0.841,0.263,0.164,75.627
38,1N4148WS_400V_1.avi:3.80 s,0.034,1.288,0.841,0.263,0.165,75.763
39,1N4148WS_400V_1.avi:3.90 s,0.034,1.288,0.842,0.260,0.165,75.303
40,1N4148WS_400V_1.avi:4.00 s,0.034,1.288,0.842,0.262,0.165,75.677
41,1N4148WS_400V_1.avi:4.10 s,0.034,1.288,0.842,0.262,0.165,76.035
42,1N4148WS_400V_1.avi:4.20 s,0.034,1.288,0.841,0.262,0.165,75.937
43,1N4148WS_400V_1.avi:4.30 s,0.034,1.288,0.842,0.262,0.165,76.084
44,1N4148WS_400V_1.avi:4.40 s,0.034,1.288,0.842,0.262,0.165,76.006
45,1N4148WS_400V_1.avi:4.50 s,0.034,1.288,0.841,0.262,0.165,75.870
46,1N4148WS_400V_1.avi:4.60 s,0.034,1.288,0.842,0.262,0.165,75.894
47,1N4148WS_400V_1.avi:4.70 s,0.034,1.288,0.842,0.263,0.165,75.951
48,1N4148WS_400V_1.avi:4.80 s,0.034,1.288,0.841,0.262,0.165,75.998
49,1N4148WS_400V_1.avi:4.90 s,0.034,1.288,0.842,0.263,0.165,76.174
50,1N4148WS_400V_1.avi:5.00 s,0.034,1.288,0.842,0.262,0.165,75.680
51,1N4148WS_400V_1.avi:5.10 s,0.034,1.288,0.842,0.263,0.165,75.940
52,1N4148WS_400V_1.avi:5.20 s,0.034,1.288,0.842,0.263,0.165,76.130
53,1N4148WS_400V_1.avi:5.30 s,0.034,1.288,0.842,0.263,0.165,75.863
54,1N4148WS_400V_1.avi:5.40 s,0.034,1.288,0.841,0.262,0.165,75.977
55,1N4148WS_400V_1.avi:5.50 s,0.034,1.288,0.842,0.263,0.165,75.786
56,1N4148WS_400V_1.avi:5.60 s,0.034,1.288,0.842,0.264,0.165,76.076
57,1N4148WS_400V_1.avi:5.70 s,0.034,1.288,0.842,0.263,0.165,75.985
58,1N4148WS_400V_1.avi:5.80 s,0.034,1.288,0.842,0.263,0.165,75.985
59,1N4148WS_400V_1.avi:5.90 s,0.034,1.288,0.842,0.262,0.165,76.063
60,1N4148WS_400V_1.avi:6.00 s,0.034,1.288,0.842,0.264,0.165,76.226
61,1N4148WS_400V_1.avi:6.10 s,0.034,1.288,0.842,0.263,0.165,76.220
62,1N4148WS_400V_1.avi:6.20 s,0.034,1.288,0.842,0.264,0.165,76.186
63,1N4148WS_400V_1.avi:6.30 s,0.034,1.288,0.842,0.263,0.165,76.181
64,1N4148WS_400V_1.avi:6.40 s,0.034,1.288,0.842,0.264,0.165,76.234
65,1N4148WS_400V_1.avi:6.49 s,0.034,1.288,0.842,0.264,0.165,75.889
66,1N4148WS_400V_1.avi:6.59 s,0.034,1.288,0.842,0.263,0.165,75.747
67,1N4148WS_400V_1.avi:6.69 s,0.034,1.288,0.842,0.263,0.165,76.219
68,1N4148WS_400V_1.avi:6.79 s,0.034,1.288,0.842,0.263,0.165,76.042
69,1N4148WS_400V_1.avi:6.89 s,0.034,1.288,0.842,0.264,0.165,76.151
70,1N4148WS_400V_1.avi:6.99 s,0.034,1.288,0.842,0.263,0.165,76.012
71,1N4148WS_400V_1.avi:7.09 s,0.034,1.288,0.842,0.263,0.165,76.096
72,1N4148WS_400V_1.avi:7.19 s,0.034,1.288,0.842,0.263,0.165,76.096
73,1N4148WS_400V_1.avi:7.29 s,0.034,1.288,0.842,0.264,0.165,76.293
74,1N4148WS_400V_1.avi:7.39 s,0.034,1.288,0.842,0.263,0.165,75.860
75,1N4148WS_400V_1.avi:7.49 s,0.034,1.288,0.842,0.263,0.165,76.012
76,1N4148WS_400V_1.avi:7.59 s,0.034,1.288,0.842,0.263,0.165,76.209
77,1N4148WS_400V_1.avi:7.69 s,0.034,1.288,0.842,0.264,0.165,76.293
78,1N4148WS_400V_1.avi:7.79 s,0.034,1.288,0.842,0.263,0.165,76.058
79,1N4148WS_400V_1.avi:7.89 s,0.034,1.288,0.842,0.264,0.165,76.360
80,1N4148WS_400V_1.avi:7.99 s,0.034,1.288,0.842,0.263,0.165,76.209
81,1N4148WS_400V_1.avi:8.09 s,0.034,1.288,0.842,0.263,0.165,76.096
82,1N4148WS_400V_1.avi:8.19 s,0.034,1.288,0.842,0.264,0.165,76.211
83,1N4148WS_400V_1.avi:8.29 s,0.034,1.288,0.842,0.265,0.165,76.302
84,1N4148WS_400V_1.avi:8.39 s,0.034,1.288,0.842,0.264,0.165,76.278
85,1N4148WS_400V_1.avi:8.49 s,0.034,1.288,0.842,0.264,0.165,76.293
86,1N4148WS_400V_1.avi:8.59 s,0.034,1.288,0.842,0.264,0.165,76.360
87,1N4148WS_400V_1.avi:8.69 s,0.034,1.288,0.842,0.263,0.165,76.182
88,1N4148WS_400V_1.avi:8.79 s,0.034,1.288,0.842,0.264,0.165,76.360
89,1N4148WS_400V_1.avi:8.89 s,0.034,1.288,0.842,0.263,0.165,76.128
90,1N4148WS_400V_1.avi:8.99 s,0.034,1.288,0.842,0.264,0.165,76.293
91,1N4148WS_400V_1.avi:9.09 s,0.034,1.288,0.842,0.264,0.165,76.283
92,1N4148WS_400V_1.avi:9.19 s,0.034,1.288,0.842,0.264,0.165,76.201
93,1N4148WS_400V_1.avi:9.29 s,0.034,1.288,0.842,0.264,0.165,76.211
94,1N4148WS_400V_1.avi:9.39 s,0.034,1.288,0.842,0.264,0.165,76.291
95,1N4148WS_400V_1.avi:9.49 s,0.034,1.288,0.842,0.264,0.165,76.251
96,1N4148WS_400V_1.avi:9.59 s,0.034,1.289,0.841,0.263,0.166,76.007
97,1N4148WS_400V_1.avi:9.69 s,0.034,1.286,0.842,0.263,0.165,76.496
98,1N4148WS_400V_1.avi:9.79 s,0.034,1.289,0.842,0.263,0.166,76.452
99,1N4148WS_400V_1.avi:9.89 s,0.034,1.288,0.841,0.264,0.166,76.188
100,1N4148WS_400V_1.avi:9.99 s,0.034,1.288,0.843,0.264,0.165,76.025
101,1N4148WS_400V_1.avi:10.09 s,0.034,1.288,0.841,0.265,0.165,76.510
102,1N4148WS_400V_1.avi:10.19 s,0.034,1.288,0.842,0.264,0.165,76.081
103,1N4148WS_400V_1.avi:10.29 s,0.034,1.289,0.841,0.264,0.165,76.499
104,1N4148WS_400V_1.avi:10.39 s,0.034,1.288,0.842,0.264,0.165,76.379
105,1N4148WS_400V_1.avi:10.49 s,0.034,1.288,0.842,0.264,0.165,76.459
106,1N4148WS_400V_1.avi:10.59 s,0.034,1.288,0.842,0.264,0.165,76.445
107,1N4148WS_400V_1.avi:10.69 s,0.034,1.288,0.843,0.264,0.165,75.902
108,1N4148WS_400V_1.avi:10.79 s,0.034,1.288,0.842,0.264,0.165,76.266
109,1N4148WS_400V_1.avi:10.89 s,0.034,1.288,0.842,0.264,0.165,76.175
110,1N4148WS_400V_1.avi:10.99 s,0.034,1.288,0.842,0.264,0.165,76.362
111,1N4148WS_400V_1.avi:11.09 s,0.034,1.288,0.842,0.264,0.165,76.117
