Frame,Label,Area,XM,YM,Major,Minor,Angle
1,MASK_1N4148WS_200V.avi:0.10 s,0.023,1.044,0.665,0.000,0.000,0.000
2,MASK_1N4148WS_200V.avi:0.20 s,0.023,1.044,0.665,0.218,0.132,98.758
3,MASK_1N4148WS_200V.avi:0.30 s,0.023,1.044,0.665,0.218,0.133,98.624
4,MASK_1N4148WS_200V.avi:0.40 s,0.023,1.044,0.665,0.218,0.132,98.980
5,MASK_1N4148WS_200V.avi:0.50 s,0.023,1.044,0.665,0.218,0.133,98.854
6,MASK_1N4148WS_200V.avi:0.60 s,0.023,1.044,0.665,0.218,0.132,98.805
7,MASK_1N4148WS_200V.avi:0.70 s,0.023,1.044,0.665,0.218,0.132,99.254
8,MASK_1N4148WS_200V.avi:0.80 s,0.023,1.044,0.665,0.218,0.132,98.576
9,MASK_1N4148WS_200V.avi:0.90 s,0.023,1.044,0.665,0.218,0.133,99.130
10,MASK_1N4148WS_200V.avi:1.00 s,0.023,1.044,0.665,0.218,0.133,98.900
11,MASK_1N4148WS_200V.avi:1.10 s,0.023,1.044,0.665,0.218,0.132,98.576
12,MASK_1N4148WS_200V.avi:1.20 s,0.023,1.044,0.665,0.218,0.133,98.847
13,MASK_1N4148WS_200V.avi:1.30 s,0.023,1.044,0.665,0.218,0.133,98.864
14,MASK_1N4148WS_200V.avi:1.40 s,0.023,1.044,0.665,0.218,0.132,98.688
15,MASK_1N4148WS_200V.avi:1.50 s,0.023,1.044,0.665,0.218,0.133,98.736
16,MASK_1N4148WS_200V.avi:1.60 s,0.023,1.044,0.665,0.218,0.132,98.934
17,MASK_1N4148WS_200V.avi:1.70 s,0.023,1.044,0.665,0.218,0.133,98.674
18,MASK_1N4148WS_200V.avi:1.80 s,0.023,1.044,0.665,0.218,0.132,98.497
19,MASK_1N4148WS_200V.avi:1.90 s,0.023,1.044,0.665,0.219,0.133,99.009
20,MASK_1N4148WS_200V.avi:2.00 s,0.023,1.044,0.665,0.218,0.133,98.545
21,MASK_1N4148WS_200V.avi:2.10 s,0.023,1.044,0.665,0.218,0.132,98.609
22,MASK_1N4148WS_200V.avi:2.20 s,0.023,1.044,0.665,0.218,0.133,98.736
23,MASK_1N4148WS_200V.avi:2.30 s,0.023,1.044,0.665,0.218,0.132,98.500
24,MASK_1N4148WS_200V.avi:2.40 s,0.023,1.044,0.665,0.218,0.132,98.545
25,MASK_1N4148WS_200V.avi:2.50 s,0.023,1.044,0.665,0.218,0.133,98.791
26,MASK_1N4148WS_200V.avi:2.60 s,0.023,1.044,0.665,0.218,0.132,98.742
27,MASK_1N4148WS_200V.avi:2.70 s,0.023,1.044,0.665,0.219,0.133,98.696
28,MASK_1N4148WS_200V.avi:2.80 s,0.023,1.044,0.665,0.218,0.133,99.016
29,MASK_1N4148WS_200V.avi:2.90 s,0.023,1.044,0.665,0.218,0.132,99.084
30,MASK_1N4148WS_200V.avi:3.00 s,0.023,1.044,0.665,0.219,0.132,98.610
31,MASK_1N4148WS_200V.avi:3.10 s,0.023,1.044,0.664,0.218,0.133,98.957
32,MASK_1N4148WS_200V.avi:3.20 s,0.023,1.044,0.665,0.218,0.132,98.664
33,MASK_1N4148WS_200V.avi:3.30 s,0.023,1.044,0.664,0.219,0.133,98.831
34,MASK_1N4148WS_200V.avi:3.40 s,0.023,1.044,0.665,0.219,0.133,98.854
35,MASK_1N4148WS_200V.avi:3.50 s,0.023,1.044,0.664,0.218,0.132,98.840
36,MASK_1N4148WS_200V.avi:3.60 s,0.023,1.044,0.664,0.218,0.133,98.655
37,MASK_1N4148WS_200V.avi:3.70 s,0.023,1.045,0.664,0.218,0.133,98.667
38,MASK_1N4148WS_200V.avi:3.80 s,0.023,1.044,0.664,0.218,0.132,99.119
39,MASK_1N4148WS_200V.avi:3.90 s,0.023,1.044,0.664,0.218,0.133,98.655
40,MASK_1N4148WS_200V.avi:4.00 s,0.023,1.044,0.664,0.218,0.133,98.742
41,MASK_1N4148WS_200V.avi:4.10 s,0.023,1.044,0.664,0.219,0.133,98.831
42,MASK_1N4148WS_200V.avi:4.20 s,0.023,1.044,0.664,0.219,0.133,98.831
43,MASK_1N4148WS_200V.avi:4.30 s,0.023,1.044,0.664,0.218,0.133,99.010
44,MASK_1N4148WS_200V.avi:4.40 s,0.023,1.044,0.664,0.218,0.132,98.652
45,MASK_1N4148WS_200V.avi:4.50 s,0.023,1.044,0.664,0.218,0.133,98.787
46,MASK_1N4148WS_200V.avi:4.60 s,0.023,1.044,0.664,0.218,0.133,99.059
47,MASK_1N4148WS_200V.avi:4.70 s,0.023,1.044,0.664,0.219,0.133,99.062
48,MASK_1N4148WS_200V.avi:4.80 s,0.023,1.044,0.664,0.218,0.133,98.774
49,MASK_1N4148WS_200V.avi:4.90 s,0.023,1.044,0.664,0.218,0.133,98.655
