Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_600V_2.avi:0.10 s,0.041,1.343,1.077,0.277,0.188,107.343
2,1N4148WS_600V_2.avi:0.20 s,0.041,1.343,1.077,0.278,0.188,107.211
3,1N4148WS_600V_2.avi:0.30 s,0.041,1.343,1.077,0.278,0.188,107.456
4,1N4148WS_600V_2.avi:0.40 s,0.041,1.343,1.077,0.278,0.188,107.157
5,1N4148WS_600V_2.avi:0.50 s,0.041,1.343,1.077,0.278,0.188,107.157
6,1N4148WS_600V_2.avi:0.60 s,0.041,1.343,1.077,0.278,0.188,107.157
7,1N4148WS_600V_2.avi:0.70 s,0.041,1.343,1.077,0.278,0.188,107.341
8,1N4148WS_600V_2.avi:0.80 s,0.041,1.343,1.076,0.277,0.188,107.271
9,1N4148WS_600V_2.avi:0.90 s,0.041,1.343,1.077,0.278,0.188,107.157
10,1N4148WS_600V_2.avi:1.00 s,0.041,1.343,1.076,0.277,0.188,107.005
11,1N4148WS_600V_2.avi:1.10 s,0.041,1.342,1.076,0.277,0.188,107.197
12,1N4148WS_600V_2.avi:1.20 s,0.041,1.343,1.076,0.278,0.188,107.214
13,1N4148WS_600V_2.avi:1.30 s,0.041,1.343,1.076,0.278,0.188,106.970
14,1N4148WS_600V_2.avi:1.40 s,0.041,1.343,1.076,0.279,0.188,107.064
15,1N4148WS_600V_2.avi:1.50 s,0.041,1.343,1.076,0.277,0.188,107.485
16,1N4148WS_600V_2.avi:1.60 s,0.041,1.342,1.076,0.278,0.187,107.796
17,1N4148WS_600V_2.avi:1.70 s,0.041,1.342,1.076,0.278,0.188,107.848
18,1N4148WS_600V_2.avi:1.80 s,0.041,1.342,1.076,0.279,0.188,107.370
19,1N4148WS_600V_2.avi:1.90 s,0.041,1.342,1.076,0.276,0.188,107.435
20,1N4148WS_600V_2.avi:2.00 s,0.041,1.342,1.076,0.277,0.188,107.654
21,1N4148WS_600V_2.avi:2.10 s,0.041,1.342,1.076,0.278,0.189,107.862
22,1N4148WS_600V_2.avi:2.20 s,0.041,1.342,1.076,0.278,0.187,107.721
23,1N4148WS_600V_2.avi:2.30 s,0.041,1.342,1.076,0.278,0.188,107.771
24,1N4148WS_600V_2.avi:2.40 s,0.041,1.342,1.077,0.277,0.188,107.394
25,1N4148WS_600V_2.avi:2.50 s,0.041,1.343,1.077,0.277,0.188,107.525
26,1N4148WS_600V_2.avi:2.60 s,0.041,1.343,1.078,0.276,0.189,107.555
27,1N4148WS_600V_2.avi:2.70 s,0.041,1.343,1.078,0.278,0.188,107.294
28,1N4148WS_600V_2.avi:2.80 s,0.041,1.343,1.079,0.278,0.188,107.426
29,1N4148WS_600V_2.avi:2.90 s,0.041,1.344,1.080,0.278,0.188,107.517
30,1N4148WS_600V_2.avi:3.00 s,0.041,1.344,1.080,0.279,0.187,107.651
31,1N4148WS_600V_2.avi:3.10 s,0.041,1.344,1.080,0.278,0.188,107.450
32,1N4148WS_600V_2.avi:3.20 s,0.041,1.344,1.080,0.277,0.187,106.991
33,1N4148WS_600V_2.avi:3.30 s,0.041,1.344,1.080,0.277,0.188,107.061
34,1N4148WS_600V_2.avi:3.40 s,0.041,1.344,1.080,0.277,0.188,107.118
35,1N4148WS_600V_2.avi:3.50 s,0.041,1.344,1.079,0.278,0.187,107.197
36,1N4148WS_600V_2.avi:3.60 s,2.542,2.114,1.021,2.347,1.379,92.821
37,1N4148WS_600V_2.avi:3.60 s,0.041,1.348,1.078,0.272,0.194,106.917
38,1N4148WS_600V_2.avi:3.70 s,5.671,1.363,1.040,3.075,2.348,179.989
39,1N4148WS_600V_2.avi:3.80 s,5.672,1.363,1.040,3.076,2.348,0.000
40,1N4148WS_600V_2.avi:3.90 s,5.672,1.363,1.040,3.076,2.348,0.000
41,1N4148WS_600V_2.avi:4.00 s,5.672,1.363,1.040,3.076,2.348,0.000
42,1N4148WS_600V_2.avi:4.10 s,5.672,1.363,1.040,3.076,2.348,0.000
43,1N4148WS_600V_2.avi:4.20 s,5.672,1.363,1.040,3.076,2.348,0.000
44,1N4148WS_600V_2.avi:4.30 s,5.671,1.363,1.040,3.075,2.348,179.999
45,1N4148WS_600V_2.avi:4.40 s,5.510,1.399,1.019,3.022,2.322,173.459
46,1N4148WS_600V_2.avi:4.50 s,0.041,1.348,1.074,0.278,0.188,106.355
47,1N4148WS_600V_2.avi:4.60 s,0.041,1.349,1.074,0.277,0.188,106.193
