Frame,Label,Area,XM,YM,Major,Minor,Angle
68,1N4148WS_300V_2.avi:4.53 s,0.034,1.153,1.171,0.268,0.159,40.543
69,1N4148WS_300V_2.avi:4.60 s,0.034,1.158,1.181,0.268,0.160,31.845
70,1N4148WS_300V_2.avi:4.67 s,0.034,1.164,1.191,0.268,0.160,23.888
71,1N4148WS_300V_2.avi:4.73 s,0.034,1.169,1.203,0.268,0.160,16.080
72,1N4148WS_300V_2.avi:4.80 s,0.034,1.176,1.216,0.269,0.160,9.687
73,1N4148WS_300V_2.avi:4.87 s,0.034,1.181,1.229,0.267,0.161,3.631
74,1N4148WS_300V_2.avi:4.93 s,0.033,1.184,1.242,0.265,0.157,179.162
75,1N4148WS_300V_2.avi:5.00 s,0.034,1.191,1.254,0.269,0.161,173.345
76,1N4148WS_300V_2.avi:5.07 s,0.034,1.196,1.266,0.268,0.161,168.676
77,1N4148WS_300V_2.avi:5.13 s,0.034,1.203,1.277,0.267,0.161,162.984
78,1N4148WS_300V_2.avi:5.20 s,0.034,1.211,1.289,0.266,0.160,156.509
79,1N4148WS_300V_2.avi:5.27 s,0.034,1.220,1.299,0.267,0.160,147.954
80,1N4148WS_300V_2.avi:5.33 s,0.033,1.230,1.312,0.266,0.159,139.128
81,1N4148WS_300V_2.avi:5.40 s,0.034,1.241,1.323,0.267,0.160,129.293
82,1N4148WS_300V_2.avi:5.47 s,0.033,1.253,1.336,0.267,0.159,118.218
83,1N4148WS_300V_2.avi:5.53 s,0.034,1.266,1.347,0.266,0.162,107.931
84,1N4148WS_300V_2.avi:5.60 s,0.034,1.279,1.356,0.265,0.161,98.715
85,1N4148WS_300V_2.avi:5.67 s,0.033,1.292,1.364,0.266,0.160,92.473
86,1N4148WS_300V_2.avi:5.73 s,0.035,1.305,1.368,0.269,0.163,88.228
87,1N4148WS_300V_2.avi:5.80 s,0.034,1.318,1.371,0.267,0.161,86.687
88,1N4148WS_300V_2.avi:5.87 s,0.034,1.334,1.368,0.268,0.161,83.741
89,1N4148WS_300V_2.avi:5.93 s,0.034,1.351,1.363,0.267,0.161,79.954
90,1N4148WS_300V_2.avi:6.00 s,0.034,1.368,1.356,0.268,0.161,77.662
91,1N4148WS_300V_2.avi:6.07 s,0.034,1.386,1.347,0.268,0.160,75.698
92,1N4148WS_300V_2.avi:6.13 s,0.034,1.402,1.337,0.268,0.160,74.977
93,1N4148WS_300V_2.avi:6.20 s,0.034,1.418,1.325,0.267,0.161,74.518
94,1N4148WS_300V_2.avi:6.27 s,0.034,1.431,1.312,0.264,0.162,74.163
95,1N4148WS_300V_2.avi:6.33 s,0.034,1.442,1.301,0.269,0.161,74.445
96,1N4148WS_300V_2.avi:6.40 s,0.034,1.451,1.292,0.267,0.161,73.257
97,1N4148WS_300V_2.avi:6.47 s,0.034,1.458,1.284,0.266,0.161,71.574
98,1N4148WS_300V_2.avi:6.53 s,0.034,1.465,1.279,0.267,0.161,69.858
99,1N4148WS_300V_2.avi:6.60 s,0.034,1.470,1.278,0.268,0.160,68.595
100,1N4148WS_300V_2.avi:6.67 s,0.034,1.475,1.279,0.267,0.160,68.111
101,1N4148WS_300V_2.avi:6.73 s,0.034,1.480,1.282,0.267,0.162,68.973
102,1N4148WS_300V_2.avi:6.80 s,0.034,1.485,1.286,0.267,0.161,70.229
103,1N4148WS_300V_2.avi:6.87 s,0.034,1.490,1.290,0.267,0.161,72.430
104,1N4148WS_300V_2.avi:6.93 s,0.034,1.493,1.295,0.267,0.161,75.212
105,1N4148WS_300V_2.avi:7.00 s,0.034,1.498,1.298,0.268,0.161,77.168
106,1N4148WS_300V_2.avi:7.07 s,0.034,1.502,1.302,0.267,0.161,78.656
107,1N4148WS_300V_2.avi:7.13 s,0.034,1.504,1.304,0.268,0.162,79.599
108,1N4148WS_300V_2.avi:7.20 s,0.034,1.507,1.305,0.269,0.160,79.376
109,1N4148WS_300V_2.avi:7.27 s,0.034,1.509,1.304,0.268,0.160,80.216
110,1N4148WS_300V_2.avi:7.33 s,0.034,1.512,1.300,0.269,0.161,79.975
111,1N4148WS_300V_2.avi:7.40 s,0.034,1.514,1.291,0.269,0.161,80.241
112,1N4148WS_300V_2.avi:7.47 s,0.034,1.516,1.281,0.266,0.162,81.231
113,1N4148WS_300V_2.avi:7.53 s,0.034,1.516,1.269,0.268,0.161,81.335
114,1N4148WS_300V_2.avi:7.60 s,0.034,1.516,1.256,0.267,0.161,81.238
115,1N4148WS_300V_2.avi:7.67 s,0.034,1.515,1.240,0.269,0.162,82.662
116,1N4148WS_300V_2.avi:7.73 s,0.033,1.512,1.221,0.267,0.159,82.871
117,1N4148WS_300V_2.avi:7.80 s,0.034,1.507,1.203,0.268,0.161,83.164
118,1N4148WS_300V_2.avi:7.87 s,0.034,1.500,1.183,0.269,0.161,84.339
119,1N4148WS_300V_2.avi:7.93 s,0.034,1.491,1.163,0.269,0.161,86.439
120,1N4148WS_300V_2.avi:8.00 s,0.034,1.480,1.145,0.267,0.161,88.591
121,1N4148WS_300V_2.avi:8.07 s,0.034,1.469,1.129,0.265,0.164,89.938
122,1N4148WS_300V_2.avi:8.13 s,0.034,1.457,1.115,0.266,0.161,89.790
123,1N4148WS_300V_2.avi:8.20 s,0.033,1.445,1.105,0.264,0.159,88.628
