Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_600V_4.avi:0.07 s,0.030,1.132,1.004,0.254,0.151,166.995
2,1N4148WS_600V_4.avi:0.13 s,0.030,1.130,0.994,0.255,0.151,144.643
3,1N4148WS_600V_4.avi:0.20 s,0.030,1.131,0.983,0.254,0.151,98.037
4,1N4148WS_600V_4.avi:0.27 s,0.030,1.135,0.967,0.254,0.148,66.165
5,1N4148WS_600V_4.avi:0.33 s,0.030,1.146,0.943,0.254,0.150,67.401
6,1N4148WS_600V_4.avi:0.40 s,0.030,1.161,0.915,0.254,0.151,84.112
7,1N4148WS_600V_4.avi:0.47 s,0.030,1.181,0.886,0.254,0.151,93.730
8,1N4148WS_600V_4.avi:0.53 s,0.030,1.205,0.858,0.255,0.151,89.860
9,1N4148WS_600V_4.avi:0.60 s,0.030,1.234,0.825,0.255,0.150,82.318
10,1N4148WS_600V_4.avi:0.67 s,0.030,1.269,0.790,0.254,0.152,79.846
11,1N4148WS_600V_4.avi:0.73 s,0.030,1.312,0.747,0.255,0.151,83.340
12,1N4148WS_600V_4.avi:0.80 s,0.030,1.356,0.702,0.255,0.151,86.777
13,1N4148WS_600V_4.avi:0.87 s,0.030,1.400,0.659,0.252,0.152,87.812
14,1N4148WS_600V_4.avi:0.93 s,0.030,1.440,0.626,0.253,0.152,87.796
15,1N4148WS_600V_4.avi:1.00 s,0.030,1.472,0.605,0.256,0.150,90.202
16,1N4148WS_600V_4.avi:1.07 s,0.030,1.496,0.601,0.252,0.153,89.776
17,1N4148WS_600V_4.avi:1.13 s,0.030,1.511,0.615,0.253,0.150,89.653
18,1N4148WS_600V_4.avi:1.20 s,0.031,1.521,0.645,0.254,0.155,88.355
19,1N4148WS_600V_4.avi:1.27 s,0.030,1.524,0.686,0.256,0.150,89.680
20,1N4148WS_600V_4.avi:1.33 s,0.030,1.523,0.728,0.253,0.151,89.744
21,1N4148WS_600V_4.avi:1.40 s,0.030,1.517,0.762,0.255,0.151,90.309
22,1N4148WS_600V_4.avi:1.47 s,0.030,1.512,0.788,0.256,0.150,92.156
23,1N4148WS_600V_4.avi:1.53 s,0.030,1.501,0.812,0.254,0.149,93.168
24,1N4148WS_600V_4.avi:1.60 s,0.031,1.492,0.832,0.255,0.152,94.882
25,1N4148WS_600V_4.avi:1.67 s,0.030,1.481,0.850,0.255,0.152,93.778
26,1N4148WS_600V_4.avi:1.73 s,0.030,1.472,0.868,0.255,0.152,93.716
27,1N4148WS_600V_4.avi:1.80 s,0.031,1.465,0.882,0.256,0.153,93.581
28,1N4148WS_600V_4.avi:1.87 s,0.030,1.463,0.894,0.254,0.152,93.515
29,1N4148WS_600V_4.avi:1.93 s,0.031,1.464,0.900,0.253,0.154,91.106
30,1N4148WS_600V_4.avi:2.00 s,0.031,1.468,0.905,0.257,0.153,88.836
31,1N4148WS_600V_4.avi:2.07 s,0.031,1.476,0.900,0.257,0.153,87.458
32,1N4148WS_600V_4.avi:2.13 s,0.030,1.485,0.888,0.253,0.151,88.740
33,1N4148WS_600V_4.avi:2.20 s,0.030,1.496,0.866,0.257,0.150,88.383
34,1N4148WS_600V_4.avi:2.27 s,0.030,1.504,0.838,0.257,0.151,89.732
35,1N4148WS_600V_4.avi:2.33 s,0.030,1.506,0.809,0.255,0.151,91.373
36,1N4148WS_600V_4.avi:2.40 s,0.031,1.500,0.777,0.257,0.153,91.749
37,1N4148WS_600V_4.avi:2.47 s,0.030,1.487,0.748,0.253,0.153,89.875
38,1N4148WS_600V_4.avi:2.53 s,0.031,1.466,0.722,0.257,0.151,90.121
39,1N4148WS_600V_4.avi:2.60 s,0.031,1.441,0.707,0.259,0.152,89.861
40,1N4148WS_600V_4.avi:2.67 s,0.030,1.414,0.703,0.253,0.151,89.698
41,1N4148WS_600V_4.avi:2.73 s,0.031,1.385,0.706,0.260,0.152,89.941
42,1N4148WS_600V_4.avi:2.80 s,0.030,1.358,0.716,0.253,0.151,90.967
43,1N4148WS_600V_4.avi:2.87 s,0.030,1.333,0.727,0.256,0.151,90.452
44,1N4148WS_600V_4.avi:2.93 s,0.030,1.308,0.735,0.253,0.151,91.360
45,1N4148WS_600V_4.avi:3.00 s,0.031,1.286,0.742,0.254,0.154,92.080
46,1N4148WS_600V_4.avi:3.07 s,0.031,1.264,0.751,0.255,0.152,90.248
47,1N4148WS_600V_4.avi:3.13 s,0.030,1.245,0.758,0.254,0.151,90.526
48,1N4148WS_600V_4.avi:3.20 s,0.030,1.225,0.768,0.254,0.151,90.853
49,1N4148WS_600V_4.avi:3.27 s,0.030,1.207,0.776,0.257,0.151,91.195
50,1N4148WS_600V_4.avi:3.33 s,0.030,1.192,0.786,0.253,0.152,90.480
51,1N4148WS_600V_4.avi:3.40 s,0.030,1.175,0.794,0.256,0.151,90.929
52,1N4148WS_600V_4.avi:3.47 s,0.030,1.162,0.799,0.255,0.151,90.759
53,1N4148WS_600V_4.avi:3.53 s,0.030,1.148,0.803,0.258,0.151,88.970
54,1N4148WS_600V_4.avi:3.60 s,0.030,1.137,0.805,0.253,0.151,89.407
55,1N4148WS_600V_4.avi:3.67 s,0.031,1.126,0.810,0.255,0.154,89.259
56,1N4148WS_600V_4.avi:3.73 s,0.030,1.117,0.812,0.255,0.151,89.514
57,1N4148WS_600V_4.avi:3.80 s,0.030,1.110,0.818,0.253,0.151,89.803
58,1N4148WS_600V_4.avi:3.87 s,0.030,1.104,0.822,0.256,0.150,90.391
59,1N4148WS_600V_4.avi:3.93 s,0.030,1.098,0.828,0.256,0.151,90.373
60,1N4148WS_600V_4.avi:4.00 s,0.031,1.092,0.831,0.258,0.150,89.815
61,1N4148WS_600V_4.avi:4.07 s,0.030,1.085,0.836,0.255,0.150,88.499
62,1N4148WS_600V_4.avi:4.13 s,0.030,1.077,0.836,0.254,0.151,87.183
63,1N4148WS_600V_4.avi:4.20 s,0.030,1.068,0.837,0.255,0.151,85.752
64,1N4148WS_600V_4.avi:4.27 s,0.030,1.061,0.848,0.254,0.151,83.067
65,1N4148WS_600V_4.avi:4.33 s,0.030,1.056,0.862,0.254,0.152,84.091
66,1N4148WS_600V_4.avi:4.40 s,0.030,1.053,0.884,0.255,0.152,85.605
67,1N4148WS_600V_4.avi:4.47 s,0.030,1.052,0.906,0.254,0.152,86.764
68,1N4148WS_600V_4.avi:4.53 s,0.030,1.052,0.928,0.254,0.152,87.965
69,1N4148WS_600V_4.avi:4.60 s,0.031,1.050,0.949,0.254,0.153,88.240
70,1N4148WS_600V_4.avi:4.67 s,0.030,1.049,0.971,0.253,0.152,89.335
71,1N4148WS_600V_4.avi:4.73 s,0.031,1.047,0.991,0.259,0.150,89.536
72,1N4148WS_600V_4.avi:4.80 s,0.030,1.045,1.007,0.252,0.151,90.529
73,1N4148WS_600V_4.avi:4.87 s,0.030,1.041,1.022,0.254,0.152,90.732
74,1N4148WS_600V_4.avi:4.93 s,0.030,1.041,1.033,0.253,0.151,90.587
75,1N4148WS_600V_4.avi:5.00 s,0.030,1.041,1.040,0.256,0.151,89.969
76,1N4148WS_600V_4.avi:5.07 s,0.030,1.041,1.052,0.255,0.152,90.289
77,1N4148WS_600V_4.avi:5.13 s,0.030,1.043,1.064,0.254,0.153,91.433
78,1N4148WS_600V_4.avi:5.20 s,0.030,1.044,1.077,0.252,0.154,89.667
79,1N4148WS_600V_4.avi:5.27 s,0.031,1.044,1.088,0.257,0.153,88.268
80,1N4148WS_600V_4.avi:5.33 s,0.031,1.044,1.092,0.255,0.153,88.625
81,1N4148WS_600V_4.avi:5.40 s,0.030,1.042,1.091,0.255,0.152,89.466
82,1N4148WS_600V_4.avi:5.47 s,0.030,1.041,1.081,0.256,0.150,90.013
83,1N4148WS_600V_4.avi:5.53 s,0.030,1.038,1.073,0.253,0.153,86.812
84,1N4148WS_600V_4.avi:5.60 s,0.030,1.036,1.064,0.253,0.152,88.372
85,1N4148WS_600V_4.avi:5.67 s,0.030,1.034,1.058,0.255,0.151,89.129
86,1N4148WS_600V_4.avi:5.73 s,0.030,1.034,1.052,0.251,0.151,90.954
87,1N4148WS_600V_4.avi:5.80 s,0.030,1.031,1.046,0.253,0.152,91.077
88,1N4148WS_600V_4.avi:5.87 s,0.031,1.031,1.045,0.256,0.154,88.058
89,1N4148WS_600V_4.avi:5.93 s,0.030,1.029,1.041,0.255,0.151,90.221
90,1N4148WS_600V_4.avi:6.00 s,0.031,1.027,1.037,0.259,0.151,89.594
91,1N4148WS_600V_4.avi:6.07 s,0.031,1.022,1.031,0.258,0.151,90.013
92,1N4148WS_600V_4.avi:6.13 s,0.030,1.015,1.021,0.252,0.151,90.587
93,1N4148WS_600V_4.avi:6.20 s,0.030,1.008,1.008,0.256,0.151,88.121
94,1N4148WS_600V_4.avi:6.27 s,0.030,1.001,0.996,0.255,0.151,87.030
95,1N4148WS_600V_4.avi:6.33 s,0.030,0.996,0.982,0.253,0.152,90.485
96,1N4148WS_600V_4.avi:6.40 s,0.030,0.986,0.966,0.255,0.151,92.266
97,1N4148WS_600V_4.avi:6.47 s,0.030,0.972,0.950,0.256,0.150,90.653
98,1N4148WS_600V_4.avi:6.53 s,0.030,0.960,0.940,0.256,0.151,86.538
99,1N4148WS_600V_4.avi:6.60 s,0.030,0.945,0.936,0.254,0.152,85.735
100,1N4148WS_600V_4.avi:6.67 s,0.030,0.930,0.938,0.255,0.151,86.979
101,1N4148WS_600V_4.avi:6.73 s,0.030,0.917,0.943,0.255,0.150,85.787
102,1N4148WS_600V_4.avi:6.80 s,0.030,0.906,0.954,0.254,0.152,84.196
103,1N4148WS_600V_4.avi:6.87 s,0.030,0.900,0.965,0.254,0.152,84.872
104,1N4148WS_600V_4.avi:6.93 s,0.030,0.895,0.977,0.254,0.152,86.162
105,1N4148WS_600V_4.avi:7.00 s,0.030,0.894,0.985,0.254,0.151,84.561
106,1N4148WS_600V_4.avi:7.07 s,0.030,0.893,0.990,0.256,0.151,82.863
107,1N4148WS_600V_4.avi:7.13 s,0.030,0.896,0.996,0.254,0.151,81.637
108,1N4148WS_600V_4.avi:7.20 s,0.030,0.900,0.999,0.254,0.151,81.852
109,1N4148WS_600V_4.avi:7.27 s,0.030,0.908,1.000,0.253,0.151,82.591
110,1N4148WS_600V_4.avi:7.33 s,0.030,0.921,0.995,0.255,0.151,82.169
111,1N4148WS_600V_4.avi:7.40 s,0.030,0.939,0.986,0.254,0.151,82.264
112,1N4148WS_600V_4.avi:7.47 s,0.030,0.964,0.971,0.254,0.152,85.765
113,1N4148WS_600V_4.avi:7.53 s,0.030,0.995,0.953,0.255,0.152,87.924
114,1N4148WS_600V_4.avi:7.60 s,0.030,1.026,0.937,0.258,0.150,88.466
115,1N4148WS_600V_4.avi:7.67 s,0.031,1.057,0.925,0.255,0.154,86.722
116,1N4148WS_600V_4.avi:7.73 s,0.030,1.086,0.920,0.255,0.152,86.714
117,1N4148WS_600V_4.avi:7.80 s,0.031,1.111,0.918,0.257,0.151,86.698
118,1N4148WS_600V_4.avi:7.87 s,0.031,1.133,0.917,0.254,0.154,88.678
119,1N4148WS_600V_4.avi:7.93 s,0.030,1.149,0.918,0.254,0.150,89.430
120,1N4148WS_600V_4.avi:8.00 s,0.031,1.165,0.917,0.256,0.152,88.352
121,1N4148WS_600V_4.avi:8.07 s,0.030,1.175,0.917,0.258,0.151,86.147
122,1N4148WS_600V_4.avi:8.13 s,0.031,1.186,0.915,0.256,0.152,85.246
123,1N4148WS_600V_4.avi:8.20 s,0.031,1.196,0.914,0.256,0.152,83.893
124,1N4148WS_600V_4.avi:8.27 s,0.030,1.207,0.914,0.256,0.152,82.595
125,1N4148WS_600V_4.avi:8.33 s,0.031,1.219,0.915,0.259,0.150,84.395
126,1N4148WS_600V_4.avi:8.40 s,0.030,1.233,0.918,0.255,0.150,85.423
127,1N4148WS_600V_4.avi:8.47 s,0.030,1.247,0.921,0.257,0.150,85.032
128,1N4148WS_600V_4.avi:8.53 s,0.030,1.259,0.925,0.254,0.152,85.633
129,1N4148WS_600V_4.avi:8.60 s,0.030,1.270,0.930,0.255,0.152,85.465
130,1N4148WS_600V_4.avi:8.67 s,0.030,1.278,0.935,0.256,0.151,85.029
131,1N4148WS_600V_4.avi:8.73 s,0.030,1.281,0.937,0.254,0.152,85.673
132,1N4148WS_600V_4.avi:8.80 s,0.030,1.283,0.936,0.255,0.151,86.451
133,1N4148WS_600V_4.avi:8.87 s,0.030,1.281,0.932,0.255,0.151,85.396
134,1N4148WS_600V_4.avi:8.93 s,0.030,1.276,0.929,0.255,0.152,85.116
135,1N4148WS_600V_4.avi:9.00 s,0.031,1.269,0.919,0.255,0.153,84.109
136,1N4148WS_600V_4.avi:9.07 s,0.031,1.262,0.902,0.256,0.152,83.881
137,1N4148WS_600V_4.avi:9.13 s,0.030,1.260,0.880,0.253,0.151,82.944
138,1N4148WS_600V_4.avi:9.20 s,0.030,1.261,0.854,0.253,0.152,83.085
139,1N4148WS_600V_4.avi:9.27 s,0.031,1.267,0.830,0.254,0.153,83.802
140,1N4148WS_600V_4.avi:9.33 s,0.030,1.277,0.810,0.253,0.151,84.953
141,1N4148WS_600V_4.avi:9.40 s,0.030,1.289,0.795,0.255,0.151,85.347
142,1N4148WS_600V_4.avi:9.47 s,0.030,1.303,0.786,0.254,0.152,86.630
143,1N4148WS_600V_4.avi:9.53 s,0.030,1.318,0.781,0.253,0.152,86.062
144,1N4148WS_600V_4.avi:9.60 s,0.031,1.335,0.774,0.258,0.151,87.206
145,1N4148WS_600V_4.avi:9.67 s,0.030,1.350,0.772,0.254,0.152,87.295
146,1N4148WS_600V_4.avi:9.73 s,0.031,1.363,0.772,0.256,0.153,85.191
147,1N4148WS_600V_4.avi:9.80 s,0.030,1.373,0.774,0.256,0.151,85.734
148,1N4148WS_600V_4.avi:9.87 s,0.031,1.382,0.783,0.257,0.151,83.904
149,1N4148WS_600V_4.avi:9.93 s,0.031,1.389,0.798,0.255,0.153,84.960
150,1N4148WS_600V_4.avi:10.00 s,0.030,1.395,0.819,0.253,0.153,84.981
151,1N4148WS_600V_4.avi:10.07 s,0.030,1.401,0.845,0.254,0.152,86.524
152,1N4148WS_600V_4.avi:10.13 s,0.030,1.406,0.870,0.253,0.153,86.831
153,1N4148WS_600V_4.avi:10.20 s,0.030,1.410,0.894,0.254,0.152,88.533
154,1N4148WS_600V_4.avi:10.27 s,0.031,1.411,0.916,0.257,0.152,87.644
155,1N4148WS_600V_4.avi:10.33 s,0.030,1.409,0.937,0.256,0.150,86.949
156,1N4148WS_600V_4.avi:10.40 s,0.030,1.405,0.957,0.254,0.151,86.451
