Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_400V_3.avi:0.10 s,0.034,1.288,0.915,0.276,0.159,73.709
2,1N4148WS_400V_3.avi:0.20 s,0.035,1.288,0.915,0.276,0.160,74.310
3,1N4148WS_400V_3.avi:0.30 s,0.035,1.288,0.915,0.276,0.159,73.992
4,1N4148WS_400V_3.avi:0.40 s,0.035,1.289,0.916,0.276,0.160,74.118
5,1N4148WS_400V_3.avi:0.50 s,0.035,1.288,0.915,0.276,0.159,73.956
6,1N4148WS_400V_3.avi:0.60 s,0.035,1.288,0.916,0.276,0.160,73.968
7,1N4148WS_400V_3.avi:0.70 s,0.035,1.288,0.915,0.275,0.160,74.422
8,1N4148WS_400V_3.avi:0.80 s,0.035,1.288,0.915,0.276,0.160,74.598
9,1N4148WS_400V_3.avi:0.90 s,0.035,1.288,0.916,0.275,0.160,74.376
10,1N4148WS_400V_3.avi:1.00 s,0.035,1.288,0.916,0.277,0.159,74.108
11,1N4148WS_400V_3.avi:1.10 s,0.035,1.288,0.916,0.275,0.160,74.418
12,1N4148WS_400V_3.avi:1.20 s,0.034,1.288,0.916,0.276,0.159,74.199
13,1N4148WS_400V_3.avi:1.30 s,0.034,1.288,0.916,0.275,0.160,74.152
14,1N4148WS_400V_3.avi:1.40 s,0.034,1.288,0.916,0.276,0.159,73.888
15,1N4148WS_400V_3.avi:1.50 s,0.035,1.288,0.916,0.275,0.160,74.081
16,1N4148WS_400V_3.avi:1.60 s,0.035,1.288,0.916,0.276,0.160,74.124
17,1N4148WS_400V_3.avi:1.70 s,0.035,1.288,0.916,0.275,0.160,74.016
18,1N4148WS_400V_3.avi:1.80 s,0.035,1.289,0.916,0.276,0.160,74.047
19,1N4148WS_400V_3.avi:1.90 s,0.035,1.289,0.916,0.277,0.159,74.060
20,1N4148WS_400V_3.avi:2.00 s,0.035,1.288,0.916,0.276,0.159,73.892
21,1N4148WS_400V_3.avi:2.10 s,0.035,1.288,0.920,0.278,0.159,74.508
22,1N4148WS_400V_3.avi:2.20 s,0.035,1.289,0.916,0.277,0.159,74.323
23,1N4148WS_400V_3.avi:2.30 s,0.035,1.287,0.915,0.276,0.161,74.314
24,1N4148WS_400V_3.avi:2.40 s,0.035,1.290,0.914,0.276,0.159,73.903
25,1N4148WS_400V_3.avi:2.50 s,0.035,1.288,0.915,0.276,0.160,74.413
26,1N4148WS_400V_3.avi:2.60 s,0.035,1.289,0.918,0.277,0.160,74.246
27,1N4148WS_400V_3.avi:2.70 s,0.034,1.288,0.916,0.275,0.160,73.935
28,1N4148WS_400V_3.avi:2.80 s,0.035,1.288,0.916,0.276,0.160,73.657
29,1N4148WS_400V_3.avi:2.90 s,0.035,1.289,0.915,0.277,0.159,74.055
30,1N4148WS_400V_3.avi:3.00 s,0.034,1.289,0.916,0.276,0.159,74.135
31,1N4148WS_400V_3.avi:3.10 s,0.034,1.289,0.916,0.276,0.159,74.126
32,1N4148WS_400V_3.avi:3.20 s,0.035,1.289,0.915,0.276,0.159,73.664
33,1N4148WS_400V_3.avi:3.30 s,0.035,1.289,0.916,0.276,0.159,73.892
34,1N4148WS_400V_3.avi:3.40 s,0.034,1.289,0.916,0.277,0.159,74.015
35,1N4148WS_400V_3.avi:3.50 s,0.035,1.288,0.916,0.276,0.160,74.124
36,1N4148WS_400V_3.avi:3.60 s,0.034,1.289,0.916,0.276,0.159,74.002
37,1N4148WS_400V_3.avi:3.70 s,0.035,1.288,0.916,0.276,0.160,74.035
38,1N4148WS_400V_3.avi:3.80 s,0.034,1.288,0.916,0.275,0.159,74.232
39,1N4148WS_400V_3.avi:3.90 s,0.035,1.288,0.916,0.276,0.160,73.983
40,1N4148WS_400V_3.avi:4.00 s,0.035,1.288,0.916,0.276,0.160,73.960
41,1N4148WS_400V_3.avi:4.10 s,0.035,1.288,0.916,0.275,0.160,74.100
42,1N4148WS_400V_3.avi:4.20 s,0.035,1.288,0.916,0.276,0.160,74.187
43,1N4148WS_400V_3.avi:4.30 s,0.035,1.288,0.916,0.276,0.160,74.035
44,1N4148WS_400V_3.avi:4.40 s,0.035,1.288,0.916,0.276,0.160,74.035
45,1N4148WS_400V_3.avi:4.50 s,0.035,1.288,0.916,0.276,0.160,74.124
46,1N4148WS_400V_3.avi:4.60 s,0.034,1.288,0.916,0.276,0.159,74.199
47,1N4148WS_400V_3.avi:4.70 s,0.035,1.288,0.916,0.276,0.160,74.124
48,1N4148WS_400V_3.avi:4.80 s,0.035,1.288,0.916,0.276,0.160,74.035
49,1N4148WS_400V_3.avi:4.90 s,0.035,1.288,0.916,0.276,0.160,74.035
50,1N4148WS_400V_3.avi:5.00 s,0.034,1.289,0.916,0.276,0.159,74.102
51,1N4148WS_400V_3.avi:5.10 s,0.034,1.288,0.916,0.276,0.159,74.083
52,1N4148WS_400V_3.avi:5.20 s,0.035,1.288,0.916,0.276,0.160,74.151
53,1N4148WS_400V_3.avi:5.30 s,0.035,1.288,0.916,0.276,0.160,74.124
54,1N4148WS_400V_3.avi:5.40 s,0.035,1.289,0.916,0.276,0.160,74.072
55,1N4148WS_400V_3.avi:5.50 s,0.035,1.288,0.916,0.276,0.160,74.124
56,1N4148WS_400V_3.avi:5.60 s,0.035,1.288,0.916,0.276,0.160,74.124
57,1N4148WS_400V_3.avi:5.70 s,0.034,1.288,0.916,0.276,0.159,73.954
58,1N4148WS_400V_3.avi:5.80 s,0.035,1.289,0.916,0.276,0.159,74.050
59,1N4148WS_400V_3.avi:5.90 s,0.035,1.288,0.916,0.276,0.160,73.963
60,1N4148WS_400V_3.avi:6.00 s,0.035,1.288,0.916,0.276,0.160,74.124
61,1N4148WS_400V_3.avi:6.10 s,0.035,1.288,0.916,0.276,0.160,74.111
62,1N4148WS_400V_3.avi:6.20 s,0.035,1.288,0.916,0.276,0.160,73.960
63,1N4148WS_400V_3.avi:6.30 s,0.035,1.288,0.916,0.276,0.160,73.960
64,1N4148WS_400V_3.avi:6.40 s,0.035,1.288,0.916,0.275,0.160,73.977
65,1N4148WS_400V_3.avi:6.50 s,0.035,1.288,0.916,0.276,0.160,74.226
66,1N4148WS_400V_3.avi:6.60 s,0.035,1.288,0.916,0.276,0.160,74.276
67,1N4148WS_400V_3.avi:6.70 s,0.035,1.288,0.916,0.275,0.160,73.948
68,1N4148WS_400V_3.avi:6.80 s,0.035,1.288,0.916,0.276,0.160,73.964
69,1N4148WS_400V_3.avi:6.90 s,0.034,1.288,0.916,0.275,0.159,74.113
70,1N4148WS_400V_3.avi:7.00 s,0.035,1.288,0.916,0.275,0.160,74.005
71,1N4148WS_400V_3.avi:7.10 s,0.035,1.288,0.916,0.276,0.160,73.893
72,1N4148WS_400V_3.avi:7.20 s,0.034,1.288,0.916,0.276,0.159,73.984
73,1N4148WS_400V_3.avi:7.30 s,0.034,1.288,0.916,0.275,0.159,73.921
74,1N4148WS_400V_3.avi:7.40 s,0.035,1.288,0.916,0.276,0.159,73.813
75,1N4148WS_400V_3.avi:7.50 s,0.034,1.288,0.916,0.275,0.159,73.835
76,1N4148WS_400V_3.avi:7.60 s,0.035,1.288,0.916,0.275,0.160,73.856
77,1N4148WS_400V_3.avi:7.70 s,0.035,1.288,0.916,0.275,0.160,73.756
78,1N4148WS_400V_3.avi:7.80 s,0.034,1.288,0.916,0.275,0.160,74.038
79,1N4148WS_400V_3.avi:7.90 s,0.035,1.289,0.916,0.276,0.159,73.900
80,1N4148WS_400V_3.avi:8.00 s,0.034,1.288,0.916,0.275,0.160,73.997
81,1N4148WS_400V_3.avi:8.10 s,0.034,1.288,0.916,0.275,0.159,73.686
82,1N4148WS_400V_3.avi:8.20 s,0.034,1.288,0.916,0.275,0.160,73.742
83,1N4148WS_400V_3.avi:8.30 s,0.035,1.288,0.915,0.275,0.160,73.593
84,1N4148WS_400V_3.avi:8.40 s,0.034,1.288,0.916,0.275,0.160,74.094
85,1N4148WS_400V_3.avi:8.50 s,0.035,1.288,0.915,0.275,0.160,74.115
