Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_600V_1.avi:0.10 s,0.035,1.263,1.062,0.265,0.170,48.828
2,1N4148WS_600V_1.avi:0.20 s,0.035,1.263,1.062,0.264,0.170,48.870
3,1N4148WS_600V_1.avi:0.30 s,0.035,1.263,1.062,0.264,0.170,48.955
4,1N4148WS_600V_1.avi:0.40 s,0.035,1.263,1.062,0.265,0.170,48.971
5,1N4148WS_600V_1.avi:0.50 s,0.035,1.263,1.062,0.265,0.170,49.026
6,1N4148WS_600V_1.avi:0.60 s,0.036,1.263,1.062,0.265,0.170,49.230
7,1N4148WS_600V_1.avi:0.70 s,0.035,1.263,1.062,0.265,0.170,49.154
8,1N4148WS_600V_1.avi:0.80 s,0.035,1.263,1.062,0.265,0.170,49.042
9,1N4148WS_600V_1.avi:0.90 s,0.035,1.263,1.062,0.265,0.170,49.132
10,1N4148WS_600V_1.avi:1.00 s,0.035,1.263,1.062,0.264,0.170,49.102
11,1N4148WS_600V_1.avi:1.10 s,0.035,1.264,1.062,0.264,0.170,49.404
12,1N4148WS_600V_1.avi:1.20 s,0.035,1.263,1.062,0.265,0.170,49.275
13,1N4148WS_600V_1.avi:1.30 s,0.035,1.264,1.062,0.265,0.170,49.217
14,1N4148WS_600V_1.avi:1.40 s,0.035,1.264,1.062,0.265,0.170,49.825
15,1N4148WS_600V_1.avi:1.50 s,0.035,1.264,1.062,0.265,0.170,49.717
16,1N4148WS_600V_1.avi:1.60 s,0.035,1.264,1.062,0.264,0.170,49.561
17,1N4148WS_600V_1.avi:1.70 s,0.035,1.264,1.063,0.265,0.169,49.993
18,1N4148WS_600V_1.avi:1.80 s,0.035,1.264,1.062,0.265,0.170,49.342
19,1N4148WS_600V_1.avi:1.90 s,0.036,1.263,1.062,0.266,0.170,49.501
20,1N4148WS_600V_1.avi:2.00 s,0.035,1.264,1.062,0.265,0.169,49.963
21,1N4148WS_600V_1.avi:2.10 s,0.035,1.263,1.062,0.266,0.170,49.136
22,1N4148WS_600V_1.avi:2.20 s,0.036,1.263,1.062,0.266,0.170,49.343
23,1N4148WS_600V_1.avi:2.30 s,0.035,1.264,1.062,0.266,0.170,49.597
24,1N4148WS_600V_1.avi:2.40 s,0.035,1.263,1.062,0.265,0.170,49.411
25,1N4148WS_600V_1.avi:2.50 s,0.035,1.264,1.062,0.265,0.170,49.706
26,1N4148WS_600V_1.avi:2.60 s,0.035,1.264,1.062,0.265,0.169,49.866
27,1N4148WS_600V_1.avi:2.70 s,0.035,1.263,1.063,0.265,0.170,49.610
28,1N4148WS_600V_1.avi:2.80 s,0.035,1.264,1.062,0.265,0.170,50.084
29,1N4148WS_600V_1.avi:2.90 s,0.035,1.264,1.062,0.265,0.169,49.797
30,1N4148WS_600V_1.avi:3.00 s,0.035,1.264,1.062,0.266,0.169,49.829
31,1N4148WS_600V_1.avi:3.10 s,0.035,1.264,1.063,0.265,0.170,49.700
32,1N4148WS_600V_1.avi:3.20 s,0.035,1.264,1.063,0.264,0.170,50.208
33,1N4148WS_600V_1.avi:3.30 s,0.035,1.264,1.063,0.265,0.170,49.980
34,1N4148WS_600V_1.avi:3.40 s,0.035,1.264,1.063,0.265,0.170,49.879
35,1N4148WS_600V_1.avi:3.50 s,0.035,1.264,1.063,0.265,0.171,49.793
36,1N4148WS_600V_1.avi:3.60 s,0.035,1.264,1.063,0.266,0.169,49.765
37,1N4148WS_600V_1.avi:3.70 s,0.035,1.264,1.062,0.265,0.170,50.268
38,1N4148WS_600V_1.avi:3.80 s,0.035,1.264,1.062,0.265,0.169,50.031
