Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_400V_5.avi:0.07 s,0.036,1.349,0.925,0.276,0.165,166.051
2,1N4148WS_400V_5.avi:0.13 s,0.036,1.348,0.925,0.277,0.165,166.324
3,1N4148WS_400V_5.avi:0.20 s,0.036,1.348,0.924,0.276,0.165,167.124
4,1N4148WS_400V_5.avi:0.27 s,0.036,1.348,0.925,0.275,0.166,167.586
5,1N4148WS_400V_5.avi:0.33 s,0.036,1.348,0.925,0.276,0.165,167.394
6,1N4148WS_400V_5.avi:0.40 s,0.036,1.348,0.925,0.275,0.165,167.879
7,1N4148WS_400V_5.avi:0.47 s,0.036,1.348,0.925,0.276,0.166,168.255
8,1N4148WS_400V_5.avi:0.53 s,0.036,1.348,0.925,0.276,0.167,168.479
9,1N4148WS_400V_5.avi:0.60 s,0.036,1.348,0.925,0.275,0.167,168.998
10,1N4148WS_400V_5.avi:0.67 s,0.036,1.348,0.925,0.277,0.166,169.311
11,1N4148WS_400V_5.avi:0.73 s,0.036,1.348,0.925,0.276,0.166,170.171
12,1N4148WS_400V_5.avi:0.80 s,0.036,1.349,0.925,0.276,0.165,170.178
13,1N4148WS_400V_5.avi:0.87 s,0.036,1.347,0.924,0.277,0.165,167.760
14,1N4148WS_400V_5.avi:0.93 s,0.036,1.348,0.922,0.276,0.164,155.145
15,1N4148WS_400V_5.avi:1.00 s,0.036,1.347,0.916,0.274,0.165,132.203
16,1N4148WS_400V_5.avi:1.07 s,0.035,1.345,0.908,0.275,0.164,108.310
17,1N4148WS_400V_5.avi:1.13 s,0.036,1.346,0.896,0.276,0.166,94.659
18,1N4148WS_400V_5.avi:1.20 s,0.036,1.341,0.883,0.273,0.167,94.209
19,1N4148WS_400V_5.avi:1.27 s,0.036,1.340,0.872,0.275,0.166,102.803
20,1N4148WS_400V_5.avi:1.33 s,0.036,1.333,0.858,0.277,0.165,112.309
21,1N4148WS_400V_5.avi:1.40 s,0.036,1.328,0.845,0.275,0.164,118.106
22,1N4148WS_400V_5.avi:1.46 s,0.036,1.321,0.831,0.276,0.165,118.404
23,1N4148WS_400V_5.avi:1.53 s,0.036,1.314,0.820,0.276,0.165,115.403
24,1N4148WS_400V_5.avi:1.60 s,0.036,1.311,0.809,0.276,0.165,111.404
25,1N4148WS_400V_5.avi:1.66 s,0.036,1.303,0.800,0.276,0.164,109.159
26,1N4148WS_400V_5.avi:1.73 s,0.036,1.300,0.793,0.275,0.166,108.770
27,1N4148WS_400V_5.avi:1.80 s,0.036,1.294,0.785,0.276,0.165,110.328
28,1N4148WS_400V_5.avi:1.86 s,0.036,1.290,0.783,0.276,0.165,111.145
29,1N4148WS_400V_5.avi:1.93 s,0.036,1.286,0.781,0.276,0.165,111.895
30,1N4148WS_400V_5.avi:2.00 s,0.036,1.282,0.782,0.275,0.165,112.198
31,1N4148WS_400V_5.avi:2.06 s,0.036,1.280,0.784,0.276,0.165,111.843
32,1N4148WS_400V_5.avi:2.13 s,0.036,1.274,0.787,0.277,0.165,110.966
