Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_600V_6.avi:0.07 s,0.038,1.395,1.005,0.285,0.170,46.102
2,1N4148WS_600V_6.avi:0.13 s,0.038,1.396,1.004,0.286,0.170,46.045
3,1N4148WS_600V_6.avi:0.20 s,0.038,1.395,1.005,0.285,0.170,45.929
4,1N4148WS_600V_6.avi:0.27 s,0.038,1.395,1.005,0.285,0.170,46.226
5,1N4148WS_600V_6.avi:0.33 s,0.038,1.395,1.005,0.284,0.170,46.382
6,1N4148WS_600V_6.avi:0.40 s,0.038,1.395,1.005,0.285,0.170,46.265
7,1N4148WS_600V_6.avi:0.47 s,0.038,1.395,1.004,0.286,0.170,46.030
8,1N4148WS_600V_6.avi:0.53 s,0.038,1.395,1.004,0.286,0.170,46.030
9,1N4148WS_600V_6.avi:0.60 s,0.038,1.395,1.005,0.286,0.170,46.085
10,1N4148WS_600V_6.avi:0.67 s,0.038,1.395,1.004,0.285,0.170,45.941
11,1N4148WS_600V_6.avi:0.73 s,0.038,1.396,1.005,0.286,0.170,45.944
12,1N4148WS_600V_6.avi:0.80 s,0.038,1.395,1.004,0.285,0.170,45.908
13,1N4148WS_600V_6.avi:0.87 s,0.038,1.396,1.004,0.285,0.170,46.063
14,1N4148WS_600V_6.avi:0.93 s,0.038,1.395,1.005,0.285,0.170,46.055
15,1N4148WS_600V_6.avi:1.00 s,0.038,1.395,1.004,0.284,0.171,46.177
16,1N4148WS_600V_6.avi:1.07 s,0.038,1.395,1.004,0.286,0.169,46.050
17,1N4148WS_600V_6.avi:1.13 s,0.038,1.396,1.004,0.285,0.170,45.722
18,1N4148WS_600V_6.avi:1.20 s,0.038,1.396,1.004,0.286,0.170,46.117
19,1N4148WS_600V_6.avi:1.27 s,0.038,1.396,1.004,0.285,0.170,45.915
20,1N4148WS_600V_6.avi:1.33 s,0.038,1.394,1.003,0.284,0.170,49.047
21,1N4148WS_600V_6.avi:1.40 s,0.038,1.391,0.999,0.284,0.171,65.639
22,1N4148WS_600V_6.avi:1.47 s,0.038,1.378,0.983,0.284,0.172,104.726
23,1N4148WS_600V_6.avi:1.53 s,0.038,1.356,0.957,0.284,0.170,142.122
24,1N4148WS_600V_6.avi:1.60 s,0.038,1.329,0.933,0.284,0.171,144.782
25,1N4148WS_600V_6.avi:1.67 s,0.038,1.311,0.922,0.284,0.171,124.726
26,1N4148WS_600V_6.avi:1.73 s,0.038,1.301,0.918,0.283,0.171,112.236
27,1N4148WS_600V_6.avi:1.80 s,0.038,1.293,0.921,0.285,0.170,116.802
28,1N4148WS_600V_6.avi:1.87 s,0.038,1.295,0.938,0.284,0.171,123.666
29,1N4148WS_600V_6.avi:1.93 s,0.038,1.302,0.963,0.284,0.171,122.717
30,1N4148WS_600V_6.avi:2.00 s,0.038,1.309,0.991,0.284,0.170,119.480
31,1N4148WS_600V_6.avi:2.07 s,0.038,1.315,1.017,0.285,0.171,120.284
32,1N4148WS_600V_6.avi:2.13 s,0.038,1.315,1.037,0.285,0.170,121.271
33,1N4148WS_600V_6.avi:2.20 s,0.038,1.311,1.054,0.283,0.171,121.262
34,1N4148WS_600V_6.avi:2.27 s,0.038,1.304,1.065,0.285,0.170,120.339
35,1N4148WS_600V_6.avi:2.33 s,0.038,1.295,1.069,0.284,0.171,119.082
36,1N4148WS_600V_6.avi:2.40 s,0.038,1.285,1.071,0.285,0.171,119.344
37,1N4148WS_600V_6.avi:2.47 s,0.038,1.274,1.068,0.283,0.170,119.144
38,1N4148WS_600V_6.avi:2.53 s,0.038,1.267,1.064,0.284,0.171,118.925
39,1N4148WS_600V_6.avi:2.60 s,0.038,1.261,1.059,0.283,0.170,118.908
40,1N4148WS_600V_6.avi:2.67 s,0.038,1.260,1.057,0.283,0.171,119.002
41,1N4148WS_600V_6.avi:2.73 s,0.038,1.263,1.058,0.283,0.171,119.110
42,1N4148WS_600V_6.avi:2.80 s,0.038,1.268,1.062,0.283,0.171,119.454
43,1N4148WS_600V_6.avi:2.87 s,0.038,1.273,1.068,0.284,0.171,120.117
44,1N4148WS_600V_6.avi:2.93 s,0.038,1.275,1.074,0.283,0.171,121.303
45,1N4148WS_600V_6.avi:3.00 s,0.038,1.278,1.082,0.283,0.171,120.850
46,1N4148WS_600V_6.avi:3.07 s,0.038,1.278,1.092,0.284,0.171,120.236
47,1N4148WS_600V_6.avi:3.13 s,0.038,1.279,1.104,0.285,0.170,121.278
48,1N4148WS_600V_6.avi:3.20 s,0.038,1.279,1.122,0.284,0.170,120.797
49,1N4148WS_600V_6.avi:3.27 s,0.038,1.279,1.140,0.284,0.171,121.393
50,1N4148WS_600V_6.avi:3.33 s,0.038,1.277,1.156,0.284,0.171,122.047
51,1N4148WS_600V_6.avi:3.40 s,0.038,1.271,1.165,0.285,0.171,122.366
52,1N4148WS_600V_6.avi:3.47 s,0.038,1.260,1.166,0.284,0.170,122.078
53,1N4148WS_600V_6.avi:3.53 s,0.038,1.247,1.160,0.283,0.170,121.701
54,1N4148WS_600V_6.avi:3.60 s,0.038,1.233,1.149,0.286,0.170,121.212
55,1N4148WS_600V_6.avi:3.67 s,0.038,1.217,1.135,0.284,0.170,121.999
56,1N4148WS_600V_6.avi:3.73 s,0.038,1.201,1.117,0.283,0.171,123.120
57,1N4148WS_600V_6.avi:3.80 s,0.038,1.184,1.096,0.284,0.171,121.708
58,1N4148WS_600V_6.avi:3.87 s,0.038,1.166,1.073,0.283,0.170,120.835
59,1N4148WS_600V_6.avi:3.93 s,0.038,1.148,1.045,0.284,0.170,121.236
60,1N4148WS_600V_6.avi:4.00 s,0.038,1.134,1.017,0.283,0.171,121.596
61,1N4148WS_600V_6.avi:4.07 s,0.038,1.123,0.991,0.282,0.171,121.185
62,1N4148WS_600V_6.avi:4.13 s,0.038,1.115,0.966,0.285,0.170,120.990
63,1N4148WS_600V_6.avi:4.20 s,0.038,1.112,0.945,0.285,0.171,121.325
64,1N4148WS_600V_6.avi:4.27 s,0.038,1.109,0.921,0.285,0.170,121.029
65,1N4148WS_600V_6.avi:4.33 s,0.038,1.107,0.896,0.285,0.171,121.913
66,1N4148WS_600V_6.avi:4.40 s,0.038,1.105,0.868,0.285,0.172,120.990
