Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_500V_3.avi:0.07 s,0.034,1.247,1.110,0.264,0.162,64.215
2,1N4148WS_500V_3.avi:0.13 s,0.034,1.247,1.110,0.264,0.162,64.530
3,1N4148WS_500V_3.avi:0.20 s,0.034,1.247,1.110,0.264,0.162,64.370
4,1N4148WS_500V_3.avi:0.27 s,0.034,1.247,1.110,0.264,0.162,64.357
5,1N4148WS_500V_3.avi:0.33 s,0.034,1.248,1.110,0.264,0.162,64.473
6,1N4148WS_500V_3.avi:0.40 s,0.034,1.247,1.110,0.264,0.162,64.478
7,1N4148WS_500V_3.avi:0.47 s,0.034,1.247,1.110,0.264,0.162,64.513
8,1N4148WS_500V_3.avi:0.53 s,0.034,1.247,1.110,0.264,0.162,64.713
9,1N4148WS_500V_3.avi:0.60 s,0.034,1.247,1.110,0.264,0.162,64.582
10,1N4148WS_500V_3.avi:0.67 s,0.034,1.247,1.110,0.264,0.162,64.454
11,1N4148WS_500V_3.avi:0.73 s,0.034,1.247,1.110,0.265,0.162,64.644
12,1N4148WS_500V_3.avi:0.80 s,0.034,1.247,1.110,0.264,0.162,64.368
13,1N4148WS_500V_3.avi:0.87 s,0.034,1.248,1.110,0.264,0.162,64.226
14,1N4148WS_500V_3.avi:0.93 s,0.034,1.247,1.110,0.264,0.162,64.622
15,1N4148WS_500V_3.avi:1.00 s,0.034,1.247,1.110,0.264,0.162,64.630
16,1N4148WS_500V_3.avi:1.07 s,0.034,1.248,1.110,0.264,0.162,64.358
17,1N4148WS_500V_3.avi:1.13 s,0.034,1.247,1.110,0.265,0.161,64.358
18,1N4148WS_500V_3.avi:1.20 s,0.034,1.247,1.110,0.264,0.162,64.208
19,1N4148WS_500V_3.avi:1.27 s,0.034,1.247,1.110,0.264,0.162,64.475
20,1N4148WS_500V_3.avi:1.33 s,0.034,1.247,1.110,0.264,0.161,64.462
21,1N4148WS_500V_3.avi:1.40 s,0.034,1.247,1.110,0.264,0.162,64.496
22,1N4148WS_500V_3.avi:1.47 s,0.034,1.247,1.110,0.264,0.162,64.318
23,1N4148WS_500V_3.avi:1.53 s,0.034,1.247,1.110,0.264,0.162,64.145
24,1N4148WS_500V_3.avi:1.60 s,0.034,1.248,1.110,0.265,0.161,64.423
25,1N4148WS_500V_3.avi:1.67 s,0.034,1.247,1.110,0.264,0.162,64.646
26,1N4148WS_500V_3.avi:1.73 s,0.034,1.247,1.110,0.264,0.162,64.242
27,1N4148WS_500V_3.avi:1.80 s,0.034,1.247,1.110,0.264,0.162,64.561
28,1N4148WS_500V_3.avi:1.87 s,0.034,1.247,1.111,0.265,0.162,64.865
29,1N4148WS_500V_3.avi:1.93 s,0.034,1.248,1.110,0.264,0.162,64.358
30,1N4148WS_500V_3.avi:2.00 s,0.034,1.247,1.110,0.264,0.162,64.814
31,1N4148WS_500V_3.avi:2.07 s,0.034,1.247,1.110,0.265,0.162,64.254
32,1N4148WS_500V_3.avi:2.13 s,0.034,1.248,1.110,0.264,0.162,64.904
33,1N4148WS_500V_3.avi:2.20 s,0.034,1.247,1.111,0.265,0.161,64.295
34,1N4148WS_500V_3.avi:2.27 s,0.034,1.247,1.110,0.263,0.162,64.156
35,1N4148WS_500V_3.avi:2.33 s,0.034,1.244,1.108,0.265,0.162,63.247
36,1N4148WS_500V_3.avi:2.40 s,0.033,1.233,1.105,0.264,0.161,61.214
37,1N4148WS_500V_3.avi:2.47 s,0.034,1.223,1.099,0.264,0.162,57.331
38,1N4148WS_500V_3.avi:2.53 s,0.033,1.206,1.096,0.264,0.160,52.087
39,1N4148WS_500V_3.avi:2.60 s,0.033,1.190,1.091,0.264,0.161,47.745
40,1N4148WS_500V_3.avi:2.67 s,0.033,1.175,1.087,0.265,0.161,44.680
41,1N4148WS_500V_3.avi:2.73 s,0.034,1.158,1.083,0.264,0.162,42.934
42,1N4148WS_500V_3.avi:2.80 s,0.034,1.145,1.077,0.265,0.161,44.891
43,1N4148WS_500V_3.avi:2.87 s,0.033,1.133,1.073,0.264,0.160,47.800
44,1N4148WS_500V_3.avi:2.93 s,0.033,1.122,1.068,0.263,0.161,52.579
45,1N4148WS_500V_3.avi:3.00 s,0.034,1.112,1.067,0.264,0.161,57.866
46,1N4148WS_500V_3.avi:3.07 s,0.034,1.099,1.066,0.264,0.162,64.312
47,1N4148WS_500V_3.avi:3.13 s,0.033,1.090,1.064,0.263,0.162,68.857
48,1N4148WS_500V_3.avi:3.20 s,0.033,1.082,1.058,0.263,0.162,72.722
49,1N4148WS_500V_3.avi:3.27 s,0.034,1.080,1.046,0.263,0.162,74.444
50,1N4148WS_500V_3.avi:3.33 s,0.034,1.087,1.033,0.263,0.162,74.370
51,1N4148WS_500V_3.avi:3.40 s,0.033,1.104,1.022,0.262,0.162,73.411
52,1N4148WS_500V_3.avi:3.47 s,0.034,1.129,1.016,0.263,0.162,72.434
53,1N4148WS_500V_3.avi:3.53 s,0.033,1.158,1.019,0.265,0.161,72.116
54,1N4148WS_500V_3.avi:3.60 s,0.034,1.188,1.033,0.265,0.161,74.200
55,1N4148WS_500V_3.avi:3.67 s,0.033,1.217,1.058,0.263,0.162,74.223
56,1N4148WS_500V_3.avi:3.73 s,0.034,1.247,1.090,0.263,0.162,73.251
57,1N4148WS_500V_3.avi:3.80 s,0.034,1.279,1.127,0.263,0.162,70.229
58,1N4148WS_500V_3.avi:3.87 s,0.034,1.313,1.170,0.263,0.162,64.937
59,1N4148WS_500V_3.avi:3.93 s,0.034,1.344,1.211,0.265,0.161,59.932
60,1N4148WS_500V_3.avi:4.00 s,0.034,1.376,1.251,0.264,0.162,54.968
61,1N4148WS_500V_3.avi:4.07 s,0.034,1.404,1.287,0.264,0.162,51.239
62,1N4148WS_500V_3.avi:4.13 s,0.034,1.429,1.317,0.264,0.162,48.454
63,1N4148WS_500V_3.avi:4.20 s,0.034,1.453,1.341,0.265,0.161,47.761
64,1N4148WS_500V_3.avi:4.27 s,0.034,1.474,1.359,0.265,0.162,47.560
65,1N4148WS_500V_3.avi:4.33 s,0.033,1.491,1.370,0.262,0.161,47.066
66,1N4148WS_500V_3.avi:4.40 s,0.033,1.505,1.376,0.263,0.162,46.710
67,1N4148WS_500V_3.avi:4.47 s,0.034,1.516,1.374,0.264,0.163,45.893
68,1N4148WS_500V_3.avi:4.53 s,0.033,1.523,1.366,0.263,0.162,44.547
69,1N4148WS_500V_3.avi:4.60 s,0.033,1.528,1.354,0.263,0.162,43.450
70,1N4148WS_500V_3.avi:4.67 s,0.033,1.533,1.339,0.264,0.161,41.869
71,1N4148WS_500V_3.avi:4.73 s,0.033,1.538,1.321,0.264,0.161,40.353
72,1N4148WS_500V_3.avi:4.80 s,0.034,1.542,1.297,0.265,0.162,36.738
73,1N4148WS_500V_3.avi:4.87 s,0.033,1.544,1.268,0.262,0.162,32.617
74,1N4148WS_500V_3.avi:4.93 s,0.034,1.542,1.236,0.264,0.162,29.673
75,1N4148WS_500V_3.avi:5.00 s,0.033,1.541,1.202,0.263,0.162,30.145
76,1N4148WS_500V_3.avi:5.07 s,0.033,1.540,1.170,0.263,0.162,30.911
77,1N4148WS_500V_3.avi:5.13 s,0.034,1.540,1.140,0.264,0.162,32.526
78,1N4148WS_500V_3.avi:5.20 s,0.034,1.546,1.111,0.264,0.162,34.872
79,1N4148WS_500V_3.avi:5.27 s,0.034,1.556,1.081,0.264,0.162,38.808
80,1N4148WS_500V_3.avi:5.33 s,0.034,1.567,1.052,0.263,0.163,44.818
81,1N4148WS_500V_3.avi:5.40 s,0.033,1.578,1.022,0.265,0.161,52.162
82,1N4148WS_500V_3.avi:5.46 s,0.033,1.587,0.993,0.262,0.162,62.835
83,1N4148WS_500V_3.avi:5.53 s,0.034,1.591,0.969,0.264,0.162,77.138
84,1N4148WS_500V_3.avi:5.60 s,0.034,1.594,0.950,0.265,0.162,95.557
85,1N4148WS_500V_3.avi:5.66 s,0.033,1.594,0.936,0.263,0.162,118.548
86,1N4148WS_500V_3.avi:5.73 s,0.034,1.593,0.924,0.265,0.162,142.246
87,1N4148WS_500V_3.avi:5.80 s,0.033,1.590,0.913,0.263,0.161,157.268
88,1N4148WS_500V_3.avi:5.86 s,0.034,1.580,0.899,0.266,0.162,166.205
89,1N4148WS_500V_3.avi:5.93 s,0.034,1.566,0.884,0.266,0.163,172.144
90,1N4148WS_500V_3.avi:6.00 s,0.033,1.548,0.867,0.262,0.162,6.422
91,1N4148WS_500V_3.avi:6.06 s,0.034,1.531,0.850,0.264,0.162,37.864
92,1N4148WS_500V_3.avi:6.13 s,0.034,1.521,0.835,0.266,0.162,81.470
93,1N4148WS_500V_3.avi:6.20 s,0.034,1.527,0.819,0.264,0.162,103.437
94,1N4148WS_500V_3.avi:6.26 s,0.033,1.539,0.800,0.264,0.161,93.610
95,1N4148WS_500V_3.avi:6.33 s,0.034,1.554,0.780,0.264,0.162,74.739
96,1N4148WS_500V_3.avi:6.40 s,0.034,1.565,0.758,0.266,0.162,67.776
97,1N4148WS_500V_3.avi:6.46 s,0.034,1.577,0.729,0.265,0.163,75.250
98,1N4148WS_500V_3.avi:6.53 s,0.034,1.588,0.691,0.262,0.163,81.396
99,1N4148WS_500V_3.avi:6.60 s,0.034,1.598,0.645,0.265,0.162,77.817
100,1N4148WS_500V_3.avi:6.66 s,0.034,1.601,0.595,0.265,0.162,70.514
101,1N4148WS_500V_3.avi:6.73 s,0.034,1.593,0.551,0.265,0.163,70.068
102,1N4148WS_500V_3.avi:6.80 s,0.034,1.572,0.522,0.265,0.163,76.924
103,1N4148WS_500V_3.avi:6.86 s,0.034,1.544,0.516,0.266,0.162,81.553
104,1N4148WS_500V_3.avi:6.93 s,0.034,1.514,0.531,0.265,0.162,78.808
105,1N4148WS_500V_3.avi:7.00 s,0.034,1.483,0.567,0.263,0.163,72.282
106,1N4148WS_500V_3.avi:7.06 s,0.034,1.451,0.611,0.265,0.162,67.451
107,1N4148WS_500V_3.avi:7.13 s,0.034,1.421,0.653,0.266,0.161,67.891
108,1N4148WS_500V_3.avi:7.20 s,0.034,1.395,0.693,0.266,0.161,70.816
