Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_100V_3.avi:0.07 s,0.034,1.274,1.136,0.266,0.161,9.360
2,1N4148WS_100V_3.avi:0.13 s,0.034,1.274,1.135,0.266,0.161,9.257
3,1N4148WS_100V_3.avi:0.20 s,0.034,1.274,1.136,0.267,0.161,9.246
4,1N4148WS_100V_3.avi:0.27 s,0.034,1.274,1.135,0.267,0.161,9.535
5,1N4148WS_100V_3.avi:0.33 s,0.034,1.274,1.135,0.266,0.161,9.305
6,1N4148WS_100V_3.avi:0.40 s,0.034,1.274,1.136,0.267,0.161,9.262
7,1N4148WS_100V_3.avi:0.47 s,0.034,1.274,1.136,0.266,0.161,9.026
8,1N4148WS_100V_3.avi:0.53 s,0.034,1.275,1.136,0.267,0.161,9.370
9,1N4148WS_100V_3.avi:0.60 s,0.034,1.274,1.135,0.267,0.161,9.343
10,1N4148WS_100V_3.avi:0.67 s,0.034,1.274,1.136,0.267,0.161,9.286
11,1N4148WS_100V_3.avi:0.73 s,0.034,1.273,1.136,0.266,0.161,9.307
12,1N4148WS_100V_3.avi:0.80 s,0.034,1.274,1.136,0.266,0.162,9.364
13,1N4148WS_100V_3.avi:0.87 s,0.034,1.274,1.136,0.267,0.162,9.196
14,1N4148WS_100V_3.avi:0.93 s,0.034,1.274,1.135,0.267,0.161,9.640
15,1N4148WS_100V_3.avi:1.00 s,0.034,1.274,1.136,0.266,0.161,9.453
16,1N4148WS_100V_3.avi:1.07 s,0.034,1.273,1.136,0.267,0.161,9.420
17,1N4148WS_100V_3.avi:1.14 s,0.034,1.274,1.136,0.266,0.161,9.063
18,1N4148WS_100V_3.avi:1.20 s,0.034,1.274,1.136,0.267,0.161,9.246
19,1N4148WS_100V_3.avi:1.27 s,0.034,1.274,1.136,0.267,0.161,9.432
20,1N4148WS_100V_3.avi:1.34 s,0.034,1.274,1.136,0.266,0.161,9.347
21,1N4148WS_100V_3.avi:1.40 s,0.033,1.274,1.134,0.265,0.161,9.121
22,1N4148WS_100V_3.avi:1.47 s,0.034,1.273,1.136,0.267,0.161,9.303
23,1N4148WS_100V_3.avi:1.54 s,0.034,1.273,1.136,0.265,0.161,9.043
24,1N4148WS_100V_3.avi:1.60 s,0.034,1.275,1.135,0.267,0.161,9.296
25,1N4148WS_100V_3.avi:1.67 s,0.034,1.274,1.136,0.265,0.162,8.898
26,1N4148WS_100V_3.avi:1.74 s,0.034,1.274,1.136,0.265,0.162,8.681
27,1N4148WS_100V_3.avi:1.80 s,0.033,1.274,1.137,0.265,0.161,8.867
28,1N4148WS_100V_3.avi:1.87 s,0.034,1.274,1.136,0.266,0.161,8.839
29,1N4148WS_100V_3.avi:1.94 s,0.034,1.275,1.139,0.267,0.162,8.245
30,1N4148WS_100V_3.avi:2.00 s,0.034,1.273,1.141,0.267,0.162,7.897
