Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_200V_3.avi:0.07 s,0.029,1.338,0.934,0.254,0.147,125.629
2,1N4148WS_200V_3.avi:0.13 s,0.029,1.338,0.934,0.255,0.147,125.262
3,1N4148WS_200V_3.avi:0.20 s,0.029,1.338,0.934,0.255,0.147,125.630
4,1N4148WS_200V_3.avi:0.27 s,0.029,1.338,0.934,0.255,0.146,125.415
5,1N4148WS_200V_3.avi:0.33 s,0.029,1.338,0.934,0.255,0.147,125.656
6,1N4148WS_200V_3.avi:0.40 s,0.029,1.338,0.934,0.255,0.147,125.205
7,1N4148WS_200V_3.avi:0.47 s,0.029,1.338,0.934,0.255,0.146,125.473
8,1N4148WS_200V_3.avi:0.53 s,0.029,1.338,0.934,0.255,0.147,125.559
9,1N4148WS_200V_3.avi:0.60 s,0.029,1.338,0.934,0.255,0.147,125.550
10,1N4148WS_200V_3.avi:0.67 s,0.029,1.338,0.934,0.254,0.147,125.546
11,1N4148WS_200V_3.avi:0.73 s,0.029,1.338,0.934,0.254,0.147,125.698
12,1N4148WS_200V_3.avi:0.80 s,0.029,1.338,0.934,0.255,0.146,125.473
13,1N4148WS_200V_3.avi:0.87 s,0.029,1.338,0.934,0.255,0.146,125.378
14,1N4148WS_200V_3.avi:0.93 s,0.029,1.338,0.934,0.255,0.147,125.633
15,1N4148WS_200V_3.avi:1.00 s,0.029,1.337,0.934,0.256,0.147,125.671
16,1N4148WS_200V_3.avi:1.07 s,0.029,1.338,0.934,0.254,0.147,125.334
17,1N4148WS_200V_3.avi:1.13 s,0.029,1.338,0.934,0.254,0.146,125.748
18,1N4148WS_200V_3.avi:1.20 s,0.029,1.338,0.934,0.254,0.147,125.735
19,1N4148WS_200V_3.avi:1.27 s,0.030,1.338,0.934,0.256,0.147,125.349
20,1N4148WS_200V_3.avi:1.33 s,0.029,1.338,0.934,0.254,0.147,125.432
21,1N4148WS_200V_3.avi:1.40 s,0.029,1.338,0.934,0.254,0.147,125.422
22,1N4148WS_200V_3.avi:1.47 s,0.029,1.338,0.934,0.256,0.147,125.441
23,1N4148WS_200V_3.avi:1.53 s,0.029,1.338,0.934,0.254,0.147,125.711
24,1N4148WS_200V_3.avi:1.60 s,0.029,1.338,0.934,0.254,0.147,125.675
25,1N4148WS_200V_3.avi:1.67 s,0.029,1.338,0.934,0.255,0.147,125.525
