Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_600V_3.avi:0.10 s,0.032,0.943,0.937,0.243,0.166,61.791
2,1N4148WS_600V_3.avi:0.20 s,0.032,0.943,0.937,0.244,0.167,61.747
3,1N4148WS_600V_3.avi:0.30 s,0.032,0.943,0.936,0.242,0.167,61.751
4,1N4148WS_600V_3.avi:0.40 s,0.032,0.943,0.937,0.244,0.167,62.009
5,1N4148WS_600V_3.avi:0.50 s,0.032,0.943,0.937,0.244,0.166,61.681
6,1N4148WS_600V_3.avi:0.60 s,0.032,0.943,0.937,0.244,0.167,62.142
7,1N4148WS_600V_3.avi:0.70 s,0.032,0.943,0.937,0.244,0.167,62.252
8,1N4148WS_600V_3.avi:0.80 s,0.032,0.943,0.937,0.245,0.167,62.270
9,1N4148WS_600V_3.avi:0.90 s,0.032,0.943,0.937,0.244,0.167,62.434
10,1N4148WS_600V_3.avi:1.00 s,0.032,0.943,0.937,0.243,0.167,62.413
11,1N4148WS_600V_3.avi:1.10 s,0.032,0.943,0.937,0.243,0.167,62.582
12,1N4148WS_600V_3.avi:1.20 s,0.032,0.943,0.937,0.244,0.167,62.410
13,1N4148WS_600V_3.avi:1.30 s,0.032,0.943,0.937,0.243,0.167,62.535
14,1N4148WS_600V_3.avi:1.40 s,0.032,0.943,0.937,0.244,0.167,62.420
15,1N4148WS_600V_3.avi:1.50 s,0.032,0.943,0.937,0.243,0.167,62.576
16,1N4148WS_600V_3.avi:1.60 s,0.032,0.943,0.937,0.243,0.167,62.692
17,1N4148WS_600V_3.avi:1.70 s,0.032,0.943,0.937,0.243,0.167,62.692
18,1N4148WS_600V_3.avi:1.80 s,0.032,0.943,0.937,0.243,0.167,62.681
19,1N4148WS_600V_3.avi:1.90 s,0.032,0.943,0.937,0.243,0.167,62.623
20,1N4148WS_600V_3.avi:2.00 s,0.032,0.943,0.937,0.243,0.167,62.439
21,1N4148WS_600V_3.avi:2.10 s,0.032,0.943,0.937,0.243,0.167,62.551
22,1N4148WS_600V_3.avi:2.20 s,0.032,0.943,0.937,0.243,0.167,63.274
23,1N4148WS_600V_3.avi:2.30 s,0.032,0.943,0.937,0.243,0.167,62.708
24,1N4148WS_600V_3.avi:2.40 s,0.032,0.943,0.937,0.244,0.167,62.538
25,1N4148WS_600V_3.avi:2.50 s,0.032,0.943,0.937,0.244,0.167,62.698
26,1N4148WS_600V_3.avi:2.60 s,0.032,0.943,0.937,0.243,0.167,62.653
27,1N4148WS_600V_3.avi:2.70 s,0.032,0.943,0.937,0.244,0.166,63.426
28,1N4148WS_600V_3.avi:2.80 s,0.032,0.943,0.937,0.243,0.166,63.149
29,1N4148WS_600V_3.avi:2.90 s,0.032,0.943,0.937,0.244,0.167,62.698
30,1N4148WS_600V_3.avi:3.00 s,0.032,0.943,0.937,0.243,0.166,63.199
31,1N4148WS_600V_3.avi:3.10 s,0.032,0.943,0.937,0.244,0.166,63.532
32,1N4148WS_600V_3.avi:3.20 s,0.032,0.943,0.937,0.244,0.166,63.281
33,1N4148WS_600V_3.avi:3.30 s,0.032,0.943,0.937,0.244,0.166,63.426
34,1N4148WS_600V_3.avi:3.40 s,0.032,0.943,0.937,0.244,0.166,63.558
35,1N4148WS_600V_3.avi:3.50 s,0.032,0.943,0.937,0.244,0.166,63.424
36,1N4148WS_600V_3.avi:3.60 s,0.032,0.944,0.937,0.244,0.166,63.642
37,1N4148WS_600V_3.avi:3.70 s,0.032,0.943,0.937,0.244,0.166,63.737
38,1N4148WS_600V_3.avi:3.80 s,0.032,0.943,0.937,0.244,0.166,63.656
39,1N4148WS_600V_3.avi:3.90 s,0.032,0.944,0.937,0.244,0.166,63.642
40,1N4148WS_600V_3.avi:4.00 s,0.032,0.944,0.937,0.244,0.166,63.642
41,1N4148WS_600V_3.avi:4.10 s,0.032,0.944,0.937,0.244,0.166,63.642
42,1N4148WS_600V_3.avi:4.20 s,0.032,0.943,0.937,0.244,0.166,63.737
43,1N4148WS_600V_3.avi:4.30 s,0.032,0.943,0.937,0.244,0.166,63.737
44,1N4148WS_600V_3.avi:4.40 s,0.032,0.944,0.937,0.244,0.166,63.642
45,1N4148WS_600V_3.avi:4.50 s,0.032,0.944,0.937,0.244,0.166,63.642
46,1N4148WS_600V_3.avi:4.60 s,0.032,0.943,0.937,0.244,0.165,63.895
47,1N4148WS_600V_3.avi:4.70 s,0.032,0.943,0.937,0.244,0.166,63.426
48,1N4148WS_600V_3.avi:4.80 s,0.032,0.943,0.937,0.244,0.166,63.611
49,1N4148WS_600V_3.avi:4.90 s,0.032,0.943,0.937,0.244,0.166,63.737
50,1N4148WS_600V_3.avi:5.00 s,0.032,0.943,0.937,0.244,0.166,64.074
51,1N4148WS_600V_3.avi:5.10 s,0.032,0.943,0.937,0.244,0.166,63.974
52,1N4148WS_600V_3.avi:5.20 s,0.032,0.943,0.937,0.245,0.166,64.043
53,1N4148WS_600V_3.avi:5.30 s,0.032,0.943,0.937,0.244,0.166,63.956
54,1N4148WS_600V_3.avi:5.40 s,0.032,0.943,0.937,0.244,0.166,63.836
55,1N4148WS_600V_3.avi:5.50 s,0.032,0.943,0.937,0.244,0.166,63.905
56,1N4148WS_600V_3.avi:5.60 s,0.032,0.943,0.937,0.244,0.166,63.699
57,1N4148WS_600V_3.avi:5.70 s,0.032,0.943,0.937,0.244,0.166,63.611
58,1N4148WS_600V_3.avi:5.80 s,0.032,0.943,0.937,0.244,0.165,63.583
59,1N4148WS_600V_3.avi:5.90 s,0.032,0.943,0.937,0.244,0.166,64.007
60,1N4148WS_600V_3.avi:6.00 s,0.032,0.943,0.937,0.244,0.166,63.918
61,1N4148WS_600V_3.avi:6.10 s,0.032,0.943,0.937,0.244,0.166,64.096
62,1N4148WS_600V_3.avi:6.20 s,0.032,0.943,0.937,0.244,0.167,63.711
63,1N4148WS_600V_3.avi:6.30 s,0.032,0.943,0.937,0.244,0.166,63.588
64,1N4148WS_600V_3.avi:6.40 s,0.032,0.943,0.937,0.244,0.167,63.453
65,1N4148WS_600V_3.avi:6.50 s,0.032,0.943,0.937,0.245,0.166,63.909
66,1N4148WS_600V_3.avi:6.60 s,0.032,0.943,0.937,0.244,0.166,63.785
67,1N4148WS_600V_3.avi:6.70 s,0.032,0.943,0.937,0.244,0.166,63.747
68,1N4148WS_600V_3.avi:6.80 s,0.032,0.943,0.937,0.244,0.166,64.050
69,1N4148WS_600V_3.avi:6.90 s,0.032,0.943,0.937,0.244,0.165,63.908
70,1N4148WS_600V_3.avi:7.00 s,0.032,0.943,0.937,0.244,0.166,63.620
71,1N4148WS_600V_3.avi:7.10 s,0.032,0.943,0.937,0.244,0.167,63.453
