Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_400V_4.avi:0.07 s,0.032,1.212,0.953,0.261,0.155,26.231
2,1N4148WS_400V_4.avi:0.13 s,0.032,1.213,0.953,0.260,0.155,26.236
3,1N4148WS_400V_4.avi:0.20 s,0.032,1.213,0.952,0.261,0.154,26.151
4,1N4148WS_400V_4.avi:0.27 s,0.032,1.213,0.953,0.261,0.155,26.491
5,1N4148WS_400V_4.avi:0.33 s,0.032,1.213,0.953,0.262,0.155,26.326
6,1N4148WS_400V_4.avi:0.40 s,0.032,1.213,0.953,0.261,0.155,26.453
7,1N4148WS_400V_4.avi:0.47 s,0.032,1.213,0.953,0.261,0.155,26.717
8,1N4148WS_400V_4.avi:0.53 s,0.032,1.213,0.953,0.261,0.155,26.026
9,1N4148WS_400V_4.avi:0.60 s,0.032,1.212,0.953,0.262,0.155,26.806
10,1N4148WS_400V_4.avi:0.67 s,0.032,1.213,0.953,0.261,0.155,26.194
11,1N4148WS_400V_4.avi:0.73 s,0.032,1.213,0.952,0.261,0.155,26.518
12,1N4148WS_400V_4.avi:0.80 s,0.032,1.213,0.953,0.261,0.155,26.559
13,1N4148WS_400V_4.avi:0.87 s,0.032,1.212,0.952,0.262,0.155,26.194
14,1N4148WS_400V_4.avi:0.93 s,0.032,1.213,0.953,0.260,0.155,26.272
15,1N4148WS_400V_4.avi:1.00 s,0.032,1.212,0.953,0.262,0.155,26.182
16,1N4148WS_400V_4.avi:1.07 s,0.032,1.213,0.953,0.261,0.155,26.292
17,1N4148WS_400V_4.avi:1.13 s,0.032,1.213,0.953,0.261,0.155,26.137
18,1N4148WS_400V_4.avi:1.20 s,0.032,1.213,0.953,0.262,0.155,26.393
19,1N4148WS_400V_4.avi:1.27 s,0.032,1.213,0.953,0.261,0.154,26.338
20,1N4148WS_400V_4.avi:1.33 s,0.032,1.213,0.952,0.262,0.155,26.069
21,1N4148WS_400V_4.avi:1.40 s,0.032,1.212,0.952,0.261,0.155,26.260
22,1N4148WS_400V_4.avi:1.47 s,0.032,1.212,0.952,0.261,0.155,26.096
23,1N4148WS_400V_4.avi:1.53 s,0.032,1.209,0.951,0.261,0.155,26.361
24,1N4148WS_400V_4.avi:1.60 s,0.032,1.208,0.952,0.262,0.155,26.596
