Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_400V_6.avi:0.07 s,0.033,1.261,1.007,0.272,0.155,52.742
2,1N4148WS_400V_6.avi:0.13 s,0.033,1.261,1.007,0.271,0.156,52.748
3,1N4148WS_400V_6.avi:0.20 s,0.033,1.261,1.007,0.270,0.156,52.684
4,1N4148WS_400V_6.avi:0.27 s,0.033,1.261,1.007,0.271,0.156,52.719
5,1N4148WS_400V_6.avi:0.33 s,0.033,1.261,1.007,0.270,0.156,52.722
6,1N4148WS_400V_6.avi:0.40 s,0.033,1.261,1.007,0.270,0.156,52.545
7,1N4148WS_400V_6.avi:0.47 s,0.033,1.261,1.007,0.271,0.156,52.764
8,1N4148WS_400V_6.avi:0.53 s,0.033,1.261,1.007,0.271,0.156,52.791
9,1N4148WS_400V_6.avi:0.60 s,0.033,1.261,1.007,0.271,0.156,52.700
10,1N4148WS_400V_6.avi:0.67 s,0.033,1.261,1.007,0.270,0.156,52.607
11,1N4148WS_400V_6.avi:0.73 s,0.033,1.261,1.006,0.270,0.156,52.359
12,1N4148WS_400V_6.avi:0.80 s,0.033,1.261,1.007,0.271,0.156,52.438
13,1N4148WS_400V_6.avi:0.87 s,0.033,1.261,1.007,0.271,0.156,52.611
14,1N4148WS_400V_6.avi:0.93 s,0.033,1.261,1.007,0.271,0.156,52.834
15,1N4148WS_400V_6.avi:1.00 s,0.033,1.261,1.007,0.270,0.156,52.734
16,1N4148WS_400V_6.avi:1.07 s,0.033,1.261,1.007,0.271,0.156,52.523
17,1N4148WS_400V_6.avi:1.13 s,0.033,1.261,1.006,0.271,0.156,52.755
18,1N4148WS_400V_6.avi:1.20 s,0.033,1.261,1.007,0.270,0.156,52.598
19,1N4148WS_400V_6.avi:1.27 s,0.033,1.261,1.007,0.270,0.156,52.551
20,1N4148WS_400V_6.avi:1.33 s,0.033,1.261,1.007,0.271,0.156,52.764
21,1N4148WS_400V_6.avi:1.40 s,0.033,1.261,1.007,0.270,0.156,52.554
22,1N4148WS_400V_6.avi:1.47 s,0.033,1.261,1.007,0.270,0.156,52.467
23,1N4148WS_400V_6.avi:1.53 s,0.033,1.261,1.007,0.270,0.156,52.555
24,1N4148WS_400V_6.avi:1.60 s,0.033,1.261,1.007,0.271,0.156,52.443
25,1N4148WS_400V_6.avi:1.67 s,0.033,1.262,1.008,0.271,0.156,52.588
26,1N4148WS_400V_6.avi:1.73 s,0.033,1.258,1.005,0.270,0.156,54.385
27,1N4148WS_400V_6.avi:1.80 s,0.033,1.257,1.007,0.271,0.156,60.410
28,1N4148WS_400V_6.avi:1.87 s,0.033,1.247,1.006,0.271,0.157,71.902
29,1N4148WS_400V_6.avi:1.93 s,0.034,1.239,1.006,0.272,0.160,91.297
30,1N4148WS_400V_6.avi:2.00 s,0.033,1.221,1.002,0.270,0.157,114.934
31,1N4148WS_400V_6.avi:2.07 s,0.033,1.198,0.994,0.271,0.157,136.555
32,1N4148WS_400V_6.avi:2.13 s,0.033,1.174,0.986,0.271,0.156,147.674
33,1N4148WS_400V_6.avi:2.20 s,0.033,1.142,0.977,0.271,0.156,147.944
34,1N4148WS_400V_6.avi:2.27 s,0.033,1.115,0.969,0.272,0.155,141.220
35,1N4148WS_400V_6.avi:2.33 s,0.033,1.085,0.959,0.271,0.156,131.715
36,1N4148WS_400V_6.avi:2.40 s,0.033,1.057,0.946,0.272,0.156,123.647
37,1N4148WS_400V_6.avi:2.47 s,0.033,1.035,0.934,0.271,0.156,118.000
38,1N4148WS_400V_6.avi:2.53 s,0.033,1.013,0.921,0.271,0.156,116.853
39,1N4148WS_400V_6.avi:2.60 s,0.033,1.000,0.909,0.272,0.156,118.961
40,1N4148WS_400V_6.avi:2.67 s,0.033,0.987,0.899,0.271,0.156,123.196
41,1N4148WS_400V_6.avi:2.73 s,0.033,0.979,0.890,0.270,0.156,127.128
42,1N4148WS_400V_6.avi:2.80 s,0.033,0.974,0.884,0.270,0.156,130.979
43,1N4148WS_400V_6.avi:2.87 s,0.033,0.970,0.880,0.270,0.155,131.816
44,1N4148WS_400V_6.avi:2.93 s,0.033,0.970,0.881,0.269,0.155,131.469
45,1N4148WS_400V_6.avi:3.00 s,0.033,0.972,0.885,0.269,0.157,130.047
46,1N4148WS_400V_6.avi:3.07 s,0.033,0.975,0.893,0.270,0.155,129.440
47,1N4148WS_400V_6.avi:3.13 s,0.033,0.979,0.904,0.270,0.156,128.431
48,1N4148WS_400V_6.avi:3.20 s,0.033,0.983,0.917,0.271,0.156,128.841
49,1N4148WS_400V_6.avi:3.27 s,0.033,0.988,0.932,0.271,0.157,128.658
50,1N4148WS_400V_6.avi:3.33 s,0.033,0.993,0.949,0.272,0.156,128.952
51,1N4148WS_400V_6.avi:3.40 s,0.033,0.997,0.966,0.269,0.156,128.660
52,1N4148WS_400V_6.avi:3.47 s,0.033,1.004,0.986,0.271,0.155,129.261
53,1N4148WS_400V_6.avi:3.53 s,0.033,1.008,1.003,0.272,0.155,130.368
54,1N4148WS_400V_6.avi:3.60 s,0.033,1.013,1.020,0.270,0.156,130.764
55,1N4148WS_400V_6.avi:3.67 s,0.033,1.017,1.035,0.271,0.155,130.494
56,1N4148WS_400V_6.avi:3.73 s,0.033,1.022,1.051,0.270,0.156,129.389
57,1N4148WS_400V_6.avi:3.80 s,0.033,1.028,1.069,0.273,0.155,127.959
58,1N4148WS_400V_6.avi:3.87 s,0.033,1.034,1.088,0.270,0.156,127.199
59,1N4148WS_400V_6.avi:3.93 s,0.033,1.042,1.108,0.271,0.156,127.015
60,1N4148WS_400V_6.avi:4.00 s,0.033,1.050,1.129,0.270,0.156,127.768
61,1N4148WS_400V_6.avi:4.07 s,0.033,1.058,1.148,0.271,0.155,129.959
62,1N4148WS_400V_6.avi:4.13 s,0.033,1.065,1.164,0.271,0.156,130.375
63,1N4148WS_400V_6.avi:4.20 s,0.033,1.073,1.180,0.271,0.155,131.425
64,1N4148WS_400V_6.avi:4.27 s,0.033,1.081,1.194,0.270,0.156,131.743
65,1N4148WS_400V_6.avi:4.33 s,0.033,1.091,1.208,0.270,0.155,131.349
66,1N4148WS_400V_6.avi:4.40 s,0.033,1.097,1.218,0.271,0.156,131.276
67,1N4148WS_400V_6.avi:4.47 s,0.033,1.100,1.226,0.270,0.155,130.994
68,1N4148WS_400V_6.avi:4.53 s,0.033,1.103,1.231,0.271,0.156,130.984
69,1N4148WS_400V_6.avi:4.60 s,0.033,1.102,1.235,0.269,0.156,131.309
70,1N4148WS_400V_6.avi:4.67 s,0.033,1.099,1.236,0.272,0.156,131.352
71,1N4148WS_400V_6.avi:4.73 s,0.033,1.095,1.235,0.271,0.156,130.427
72,1N4148WS_400V_6.avi:4.80 s,0.033,1.089,1.231,0.272,0.155,128.735
73,1N4148WS_400V_6.avi:4.87 s,0.033,1.084,1.225,0.270,0.156,127.407
74,1N4148WS_400V_6.avi:4.93 s,0.033,1.079,1.218,0.269,0.156,125.721
75,1N4148WS_400V_6.avi:5.00 s,0.033,1.077,1.210,0.271,0.155,125.757
76,1N4148WS_400V_6.avi:5.07 s,0.033,1.075,1.200,0.270,0.155,125.280
77,1N4148WS_400V_6.avi:5.13 s,0.033,1.075,1.189,0.271,0.156,126.397
78,1N4148WS_400V_6.avi:5.20 s,0.033,1.077,1.180,0.270,0.156,127.805
79,1N4148WS_400V_6.avi:5.27 s,0.033,1.078,1.170,0.269,0.156,128.858
80,1N4148WS_400V_6.avi:5.33 s,0.033,1.079,1.159,0.271,0.156,129.985
81,1N4148WS_400V_6.avi:5.40 s,0.033,1.081,1.148,0.270,0.156,129.693
82,1N4148WS_400V_6.avi:5.47 s,0.033,1.083,1.138,0.269,0.156,128.687
83,1N4148WS_400V_6.avi:5.53 s,0.033,1.085,1.129,0.272,0.155,127.484
84,1N4148WS_400V_6.avi:5.60 s,0.033,1.087,1.120,0.269,0.155,127.428
85,1N4148WS_400V_6.avi:5.67 s,0.033,1.090,1.113,0.270,0.155,127.440
86,1N4148WS_400V_6.avi:5.73 s,0.033,1.094,1.107,0.270,0.155,126.819
87,1N4148WS_400V_6.avi:5.80 s,0.033,1.098,1.103,0.271,0.156,126.772
88,1N4148WS_400V_6.avi:5.87 s,0.033,1.103,1.101,0.269,0.155,126.185
89,1N4148WS_400V_6.avi:5.93 s,0.033,1.108,1.101,0.271,0.155,125.675
90,1N4148WS_400V_6.avi:6.00 s,0.033,1.112,1.104,0.271,0.155,125.229
91,1N4148WS_400V_6.avi:6.07 s,0.033,1.114,1.110,0.270,0.156,123.593
92,1N4148WS_400V_6.avi:6.13 s,0.033,1.114,1.116,0.270,0.156,122.698
93,1N4148WS_400V_6.avi:6.20 s,0.033,1.114,1.122,0.271,0.156,122.270
94,1N4148WS_400V_6.avi:6.27 s,0.033,1.111,1.128,0.271,0.156,122.339
95,1N4148WS_400V_6.avi:6.33 s,0.033,1.109,1.135,0.271,0.155,122.433
96,1N4148WS_400V_6.avi:6.40 s,0.033,1.107,1.142,0.269,0.156,123.150
97,1N4148WS_400V_6.avi:6.47 s,0.033,1.105,1.147,0.271,0.155,124.566
98,1N4148WS_400V_6.avi:6.53 s,0.033,1.103,1.151,0.271,0.155,125.059
99,1N4148WS_400V_6.avi:6.60 s,0.033,1.101,1.155,0.270,0.155,125.777
100,1N4148WS_400V_6.avi:6.67 s,0.033,1.100,1.159,0.271,0.156,125.972
101,1N4148WS_400V_6.avi:6.73 s,0.033,1.099,1.165,0.271,0.156,126.231
102,1N4148WS_400V_6.avi:6.80 s,0.033,1.099,1.169,0.271,0.155,127.361
103,1N4148WS_400V_6.avi:6.87 s,0.033,1.099,1.174,0.271,0.155,128.469
104,1N4148WS_400V_6.avi:6.94 s,0.033,1.102,1.179,0.271,0.156,128.870
105,1N4148WS_400V_6.avi:7.00 s,0.033,1.104,1.182,0.270,0.156,128.860
106,1N4148WS_400V_6.avi:7.07 s,0.033,1.109,1.185,0.272,0.155,128.849
107,1N4148WS_400V_6.avi:7.14 s,0.033,1.113,1.187,0.271,0.155,129.405
108,1N4148WS_400V_6.avi:7.20 s,0.033,1.119,1.189,0.270,0.155,130.169
109,1N4148WS_400V_6.avi:7.27 s,0.033,1.123,1.187,0.270,0.155,130.658
110,1N4148WS_400V_6.avi:7.34 s,0.033,1.128,1.184,0.271,0.156,131.632
111,1N4148WS_400V_6.avi:7.40 s,0.033,1.133,1.178,0.270,0.156,131.980
112,1N4148WS_400V_6.avi:7.47 s,0.033,1.138,1.170,0.269,0.156,133.535
113,1N4148WS_400V_6.avi:7.54 s,0.033,1.141,1.155,0.269,0.156,134.360
114,1N4148WS_400V_6.avi:7.60 s,0.033,1.144,1.138,0.271,0.155,134.695
115,1N4148WS_400V_6.avi:7.67 s,0.033,1.144,1.116,0.271,0.155,134.680
116,1N4148WS_400V_6.avi:7.74 s,0.033,1.145,1.090,0.271,0.156,134.369
117,1N4148WS_400V_6.avi:7.80 s,0.033,1.143,1.062,0.272,0.155,133.552
118,1N4148WS_400V_6.avi:7.87 s,0.033,1.142,1.032,0.272,0.156,131.467
119,1N4148WS_400V_6.avi:7.94 s,0.033,1.138,1.000,0.271,0.156,130.029
120,1N4148WS_400V_6.avi:8.00 s,0.033,1.134,0.969,0.272,0.155,127.661
121,1N4148WS_400V_6.avi:8.07 s,0.033,1.131,0.940,0.271,0.156,127.082
122,1N4148WS_400V_6.avi:8.14 s,0.033,1.129,0.914,0.270,0.156,126.437
123,1N4148WS_400V_6.avi:8.20 s,0.033,1.129,0.894,0.271,0.157,125.715
124,1N4148WS_400V_6.avi:8.27 s,0.033,1.133,0.880,0.270,0.156,126.072
125,1N4148WS_400V_6.avi:8.34 s,0.033,1.135,0.870,0.272,0.155,125.463
