Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_300V_3.avi:0.07 s,0.032,1.292,1.041,0.263,0.155,66.570
2,1N4148WS_300V_3.avi:0.13 s,0.032,1.292,1.041,0.262,0.156,66.572
3,1N4148WS_300V_3.avi:0.20 s,0.032,1.292,1.041,0.262,0.155,66.625
4,1N4148WS_300V_3.avi:0.27 s,0.032,1.291,1.041,0.263,0.156,66.716
5,1N4148WS_300V_3.avi:0.33 s,0.032,1.292,1.041,0.263,0.156,66.615
6,1N4148WS_300V_3.avi:0.40 s,0.032,1.292,1.041,0.263,0.155,66.660
7,1N4148WS_300V_3.avi:0.47 s,0.032,1.292,1.041,0.263,0.156,66.505
8,1N4148WS_300V_3.avi:0.53 s,0.032,1.292,1.041,0.262,0.156,66.642
9,1N4148WS_300V_3.avi:0.60 s,0.032,1.292,1.041,0.262,0.156,66.563
10,1N4148WS_300V_3.avi:0.67 s,0.032,1.292,1.041,0.262,0.155,66.731
11,1N4148WS_300V_3.avi:0.73 s,0.032,1.292,1.040,0.263,0.156,66.620
12,1N4148WS_300V_3.avi:0.80 s,0.032,1.292,1.041,0.262,0.156,66.440
13,1N4148WS_300V_3.avi:0.87 s,0.032,1.292,1.041,0.263,0.155,66.721
14,1N4148WS_300V_3.avi:0.93 s,0.032,1.292,1.041,0.263,0.156,66.418
15,1N4148WS_300V_3.avi:1.00 s,0.032,1.292,1.041,0.263,0.155,66.422
16,1N4148WS_300V_3.avi:1.07 s,0.032,1.292,1.041,0.262,0.156,66.677
17,1N4148WS_300V_3.avi:1.13 s,0.032,1.292,1.040,0.263,0.156,66.620
18,1N4148WS_300V_3.avi:1.20 s,0.032,1.292,1.041,0.263,0.155,66.782
19,1N4148WS_300V_3.avi:1.27 s,0.032,1.292,1.041,0.263,0.155,66.551
20,1N4148WS_300V_3.avi:1.34 s,0.032,1.292,1.041,0.263,0.155,66.718
21,1N4148WS_300V_3.avi:1.40 s,0.032,1.292,1.041,0.263,0.156,66.615
22,1N4148WS_300V_3.avi:1.47 s,0.032,1.291,1.041,0.263,0.156,66.700
23,1N4148WS_300V_3.avi:1.54 s,0.032,1.292,1.041,0.263,0.156,66.482
24,1N4148WS_300V_3.avi:1.60 s,0.032,1.292,1.041,0.263,0.155,66.838
25,1N4148WS_300V_3.avi:1.67 s,0.032,1.291,1.041,0.262,0.155,67.109
26,1N4148WS_300V_3.avi:1.74 s,0.032,1.292,1.041,0.263,0.155,66.581
27,1N4148WS_300V_3.avi:1.80 s,0.032,1.292,1.041,0.264,0.155,66.612
28,1N4148WS_300V_3.avi:1.87 s,0.032,1.289,1.040,0.262,0.155,67.196
29,1N4148WS_300V_3.avi:1.94 s,0.032,1.295,1.032,0.263,0.155,70.574
30,1N4148WS_300V_3.avi:2.00 s,0.032,1.294,1.018,0.264,0.155,75.898
31,1N4148WS_300V_3.avi:2.07 s,0.032,1.299,0.998,0.264,0.155,80.591
32,1N4148WS_300V_3.avi:2.14 s,0.032,1.302,0.975,0.261,0.156,84.098
33,1N4148WS_300V_3.avi:2.20 s,0.032,1.306,0.947,0.262,0.155,86.371
34,1N4148WS_300V_3.avi:2.27 s,0.032,1.314,0.918,0.264,0.155,85.777
35,1N4148WS_300V_3.avi:2.34 s,0.032,1.316,0.891,0.262,0.156,86.767
36,1N4148WS_300V_3.avi:2.40 s,0.033,1.321,0.865,0.264,0.158,86.084
37,1N4148WS_300V_3.avi:2.47 s,0.033,1.327,0.842,0.264,0.157,85.774
38,1N4148WS_300V_3.avi:2.54 s,0.033,1.329,0.823,0.266,0.156,85.533
39,1N4148WS_300V_3.avi:2.60 s,0.032,1.334,0.805,0.261,0.157,84.715
40,1N4148WS_300V_3.avi:2.67 s,0.032,1.335,0.795,0.264,0.156,84.974
41,1N4148WS_300V_3.avi:2.74 s,0.033,1.338,0.790,0.264,0.157,85.406
42,1N4148WS_300V_3.avi:2.80 s,0.032,1.340,0.787,0.263,0.155,85.571
