Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_500V_1.avi:0.07 s,0.033,1.215,1.131,0.267,0.156,176.009
2,1N4148WS_500V_1.avi:0.13 s,0.033,1.214,1.132,0.267,0.156,176.051
3,1N4148WS_500V_1.avi:0.20 s,0.033,1.214,1.131,0.268,0.155,176.529
4,1N4148WS_500V_1.avi:0.27 s,0.033,1.214,1.132,0.267,0.157,176.025
5,1N4148WS_500V_1.avi:0.33 s,0.033,1.214,1.131,0.268,0.156,176.033
6,1N4148WS_500V_1.avi:0.40 s,0.033,1.214,1.131,0.268,0.156,176.294
7,1N4148WS_500V_1.avi:0.47 s,0.033,1.215,1.132,0.268,0.156,176.132
8,1N4148WS_500V_1.avi:0.53 s,0.033,1.215,1.132,0.267,0.156,175.838
9,1N4148WS_500V_1.avi:0.60 s,0.033,1.214,1.131,0.268,0.156,176.126
10,1N4148WS_500V_1.avi:0.67 s,0.033,1.214,1.131,0.268,0.156,175.972
11,1N4148WS_500V_1.avi:0.73 s,0.033,1.214,1.131,0.268,0.155,176.412
12,1N4148WS_500V_1.avi:0.80 s,0.033,1.215,1.132,0.267,0.156,176.133
13,1N4148WS_500V_1.avi:0.87 s,0.033,1.214,1.131,0.267,0.156,176.445
14,1N4148WS_500V_1.avi:0.93 s,0.033,1.214,1.131,0.267,0.157,176.422
15,1N4148WS_500V_1.avi:1.00 s,0.033,1.214,1.132,0.267,0.157,176.036
16,1N4148WS_500V_1.avi:1.07 s,0.033,1.215,1.132,0.267,0.156,176.030
17,1N4148WS_500V_1.avi:1.13 s,0.033,1.214,1.132,0.267,0.155,176.367
18,1N4148WS_500V_1.avi:1.20 s,0.033,1.215,1.132,0.268,0.156,176.280
19,1N4148WS_500V_1.avi:1.27 s,0.033,1.214,1.131,0.267,0.156,176.232
20,1N4148WS_500V_1.avi:1.33 s,0.033,1.214,1.131,0.268,0.155,176.332
21,1N4148WS_500V_1.avi:1.40 s,0.033,1.214,1.132,0.267,0.156,176.362
22,1N4148WS_500V_1.avi:1.47 s,0.033,1.215,1.131,0.268,0.155,176.534
23,1N4148WS_500V_1.avi:1.53 s,0.033,1.215,1.132,0.267,0.157,175.923
24,1N4148WS_500V_1.avi:1.60 s,0.033,1.214,1.130,0.271,0.155,176.046
25,1N4148WS_500V_1.avi:1.67 s,0.033,1.216,1.131,0.271,0.156,176.519
26,1N4148WS_500V_1.avi:1.73 s,0.033,1.215,1.133,0.271,0.155,173.974
27,1N4148WS_500V_1.avi:1.80 s,0.033,1.217,1.135,0.271,0.154,171.225
28,1N4148WS_500V_1.avi:1.87 s,0.033,1.222,1.137,0.270,0.154,166.398
29,1N4148WS_500V_1.avi:1.93 s,0.033,1.223,1.139,0.271,0.154,160.264
30,1N4148WS_500V_1.avi:2.00 s,0.033,1.231,1.141,0.269,0.154,152.782
31,1N4148WS_500V_1.avi:2.07 s,0.033,1.235,1.144,0.271,0.154,143.318
32,1N4148WS_500V_1.avi:2.13 s,0.033,1.241,1.144,0.270,0.154,131.338
33,1N4148WS_500V_1.avi:2.20 s,0.033,1.247,1.141,0.270,0.154,103.375
34,1N4148WS_500V_1.avi:2.27 s,0.033,1.255,1.132,0.270,0.154,56.755
35,1N4148WS_500V_1.avi:2.33 s,0.033,1.274,1.119,0.271,0.154,27.184
36,1N4148WS_500V_1.avi:2.40 s,0.033,1.293,1.108,0.272,0.154,27.869
37,1N4148WS_500V_1.avi:2.47 s,0.033,1.318,1.099,0.268,0.156,44.858
38,1N4148WS_500V_1.avi:2.53 s,0.033,1.344,1.090,0.272,0.154,61.336
39,1N4148WS_500V_1.avi:2.60 s,0.033,1.376,1.078,0.271,0.155,65.140
40,1N4148WS_500V_1.avi:2.67 s,0.033,1.412,1.060,0.269,0.156,57.169
41,1N4148WS_500V_1.avi:2.73 s,0.033,1.453,1.038,0.271,0.155,50.374
42,1N4148WS_500V_1.avi:2.80 s,0.033,1.501,1.015,0.270,0.154,51.287
43,1N4148WS_500V_1.avi:2.87 s,0.033,1.551,0.994,0.270,0.155,57.681
44,1N4148WS_500V_1.avi:2.93 s,0.033,1.599,0.983,0.271,0.155,63.345
45,1N4148WS_500V_1.avi:3.00 s,0.033,1.636,0.989,0.272,0.155,66.949
46,1N4148WS_500V_1.avi:3.07 s,0.033,1.656,1.001,0.271,0.155,68.879
47,1N4148WS_500V_1.avi:3.13 s,0.033,1.659,1.019,0.269,0.155,68.307
