Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_500V_2.avi:0.07 s,0.035,1.322,0.976,0.278,0.159,51.755
2,1N4148WS_500V_2.avi:0.13 s,0.035,1.323,0.975,0.278,0.159,51.649
3,1N4148WS_500V_2.avi:0.20 s,0.035,1.323,0.975,0.278,0.159,51.688
4,1N4148WS_500V_2.avi:0.27 s,0.035,1.323,0.975,0.277,0.160,51.526
5,1N4148WS_500V_2.avi:0.33 s,0.035,1.323,0.975,0.277,0.159,51.768
6,1N4148WS_500V_2.avi:0.40 s,0.035,1.323,0.975,0.278,0.159,51.688
7,1N4148WS_500V_2.avi:0.47 s,0.035,1.323,0.975,0.278,0.159,51.688
8,1N4148WS_500V_2.avi:0.53 s,0.035,1.323,0.975,0.277,0.159,51.768
9,1N4148WS_500V_2.avi:0.60 s,0.035,1.322,0.975,0.277,0.160,51.930
10,1N4148WS_500V_2.avi:0.67 s,0.035,1.323,0.975,0.278,0.159,51.688
11,1N4148WS_500V_2.avi:0.73 s,0.035,1.323,0.975,0.277,0.159,51.498
12,1N4148WS_500V_2.avi:0.80 s,0.035,1.323,0.975,0.277,0.159,51.768
13,1N4148WS_500V_2.avi:0.87 s,0.035,1.322,0.976,0.278,0.159,51.560
14,1N4148WS_500V_2.avi:0.93 s,0.035,1.323,0.976,0.278,0.159,51.629
15,1N4148WS_500V_2.avi:1.00 s,0.035,1.322,0.976,0.276,0.160,51.653
16,1N4148WS_500V_2.avi:1.07 s,0.035,1.322,0.976,0.277,0.159,51.550
17,1N4148WS_500V_2.avi:1.13 s,0.035,1.323,0.975,0.278,0.159,51.688
18,1N4148WS_500V_2.avi:1.20 s,0.035,1.323,0.975,0.278,0.159,51.636
19,1N4148WS_500V_2.avi:1.27 s,0.035,1.323,0.975,0.277,0.159,51.609
20,1N4148WS_500V_2.avi:1.33 s,0.035,1.323,0.975,0.276,0.160,51.705
21,1N4148WS_500V_2.avi:1.40 s,0.035,1.323,0.975,0.277,0.159,51.656
22,1N4148WS_500V_2.avi:1.47 s,0.035,1.323,0.975,0.277,0.159,51.551
23,1N4148WS_500V_2.avi:1.53 s,0.035,1.323,0.975,0.277,0.159,51.456
24,1N4148WS_500V_2.avi:1.60 s,0.035,1.323,0.975,0.277,0.160,51.578
25,1N4148WS_500V_2.avi:1.67 s,0.035,1.325,0.975,0.276,0.160,52.307
26,1N4148WS_500V_2.avi:1.73 s,0.035,1.326,0.972,0.277,0.159,53.949
27,1N4148WS_500V_2.avi:1.80 s,0.035,1.331,0.969,0.277,0.159,55.168
28,1N4148WS_500V_2.avi:1.87 s,0.035,1.332,0.965,0.277,0.161,57.413
29,1N4148WS_500V_2.avi:1.93 s,0.035,1.335,0.961,0.277,0.160,59.461
30,1N4148WS_500V_2.avi:2.00 s,0.035,1.335,0.957,0.277,0.160,62.133
31,1N4148WS_500V_2.avi:2.07 s,0.035,1.334,0.953,0.277,0.160,65.325
32,1N4148WS_500V_2.avi:2.13 s,0.035,1.335,0.947,0.275,0.160,69.128
33,1N4148WS_500V_2.avi:2.20 s,0.035,1.332,0.940,0.277,0.160,73.415
34,1N4148WS_500V_2.avi:2.27 s,0.035,1.333,0.929,0.277,0.160,78.509
35,1N4148WS_500V_2.avi:2.33 s,0.035,1.333,0.918,0.276,0.161,83.221
36,1N4148WS_500V_2.avi:2.40 s,0.035,1.334,0.911,0.277,0.159,89.516
37,1N4148WS_500V_2.avi:2.47 s,0.035,1.338,0.904,0.278,0.160,94.664
38,1N4148WS_500V_2.avi:2.53 s,0.035,1.340,0.902,0.277,0.160,101.218
39,1N4148WS_500V_2.avi:2.60 s,0.035,1.345,0.901,0.278,0.161,107.817
40,1N4148WS_500V_2.avi:2.67 s,0.035,1.350,0.901,0.277,0.160,115.231
41,1N4148WS_500V_2.avi:2.73 s,0.035,1.356,0.905,0.277,0.160,121.834
42,1N4148WS_500V_2.avi:2.80 s,0.035,1.363,0.912,0.277,0.160,129.152
43,1N4148WS_500V_2.avi:2.87 s,0.035,1.367,0.921,0.275,0.160,137.264
44,1N4148WS_500V_2.avi:2.93 s,0.035,1.371,0.932,0.277,0.160,146.263
45,1N4148WS_500V_2.avi:3.00 s,0.035,1.372,0.946,0.276,0.160,156.479
46,1N4148WS_500V_2.avi:3.06 s,0.035,1.371,0.961,0.276,0.161,165.315
47,1N4148WS_500V_2.avi:3.13 s,0.035,1.368,0.978,0.276,0.160,175.265
48,1N4148WS_500V_2.avi:3.20 s,0.035,1.360,0.997,0.276,0.162,2.524
49,1N4148WS_500V_2.avi:3.26 s,0.035,1.350,1.019,0.276,0.161,10.239
50,1N4148WS_500V_2.avi:3.33 s,0.035,1.336,1.043,0.278,0.160,16.232
51,1N4148WS_500V_2.avi:3.40 s,0.035,1.320,1.069,0.275,0.161,20.184
52,1N4148WS_500V_2.avi:3.46 s,0.035,1.300,1.099,0.277,0.161,22.016
53,1N4148WS_500V_2.avi:3.53 s,0.035,1.278,1.133,0.277,0.161,21.675
54,1N4148WS_500V_2.avi:3.60 s,0.035,1.256,1.168,0.276,0.161,20.636
55,1N4148WS_500V_2.avi:3.66 s,0.035,1.234,1.206,0.277,0.161,17.373
56,1N4148WS_500V_2.avi:3.73 s,0.035,1.212,1.246,0.277,0.159,13.054
57,1N4148WS_500V_2.avi:3.80 s,0.035,1.189,1.282,0.277,0.161,4.663
58,1N4148WS_500V_2.avi:3.86 s,0.035,1.167,1.311,0.277,0.160,173.582
59,1N4148WS_500V_2.avi:3.93 s,0.035,1.150,1.326,0.278,0.160,161.951
60,1N4148WS_500V_2.avi:4.00 s,0.035,1.142,1.327,0.276,0.160,150.537
61,1N4148WS_500V_2.avi:4.06 s,0.035,1.146,1.321,0.276,0.160,142.520
62,1N4148WS_500V_2.avi:4.13 s,0.035,1.165,1.312,0.274,0.161,136.907
63,1N4148WS_500V_2.avi:4.20 s,0.035,1.199,1.303,0.278,0.159,132.594
64,1N4148WS_500V_2.avi:4.26 s,0.035,1.246,1.295,0.276,0.160,130.642
65,1N4148WS_500V_2.avi:4.33 s,0.035,1.302,1.288,0.275,0.161,131.634
66,1N4148WS_500V_2.avi:4.40 s,0.035,1.362,1.286,0.278,0.159,135.031
67,1N4148WS_500V_2.avi:4.46 s,0.035,1.421,1.287,0.277,0.159,141.810
68,1N4148WS_500V_2.avi:4.53 s,0.034,1.475,1.290,0.274,0.159,151.075
69,1N4148WS_500V_2.avi:4.60 s,0.035,1.524,1.291,0.277,0.160,160.535
70,1N4148WS_500V_2.avi:4.66 s,0.035,1.560,1.289,0.276,0.161,169.952
71,1N4148WS_500V_2.avi:4.73 s,0.035,1.586,1.285,0.275,0.161,179.196
72,1N4148WS_500V_2.avi:4.80 s,0.035,1.596,1.279,0.276,0.160,7.680
