Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_100V_1.avi:0.07 s,0.030,1.215,0.918,0.253,0.149,113.129
2,1N4148WS_100V_1.avi:0.13 s,0.030,1.215,0.918,0.253,0.149,113.054
3,1N4148WS_100V_1.avi:0.20 s,0.030,1.215,0.918,0.253,0.149,113.238
4,1N4148WS_100V_1.avi:0.27 s,0.030,1.215,0.918,0.253,0.149,112.941
5,1N4148WS_100V_1.avi:0.33 s,0.030,1.215,0.918,0.253,0.149,113.181
6,1N4148WS_100V_1.avi:0.40 s,0.030,1.215,0.918,0.253,0.149,113.054
7,1N4148WS_100V_1.avi:0.47 s,0.029,1.215,0.918,0.253,0.148,112.870
8,1N4148WS_100V_1.avi:0.53 s,0.030,1.215,0.918,0.253,0.149,113.236
9,1N4148WS_100V_1.avi:0.60 s,0.030,1.215,0.918,0.253,0.148,113.066
10,1N4148WS_100V_1.avi:0.67 s,0.030,1.215,0.918,0.253,0.149,113.171
11,1N4148WS_100V_1.avi:0.73 s,0.030,1.215,0.918,0.253,0.149,112.961
12,1N4148WS_100V_1.avi:0.80 s,0.029,1.215,0.918,0.253,0.148,113.075
13,1N4148WS_100V_1.avi:0.87 s,0.030,1.215,0.918,0.253,0.149,113.317
14,1N4148WS_100V_1.avi:0.93 s,0.030,1.215,0.918,0.253,0.149,113.020
15,1N4148WS_100V_1.avi:1.00 s,0.029,1.215,0.918,0.253,0.148,113.161
16,1N4148WS_100V_1.avi:1.07 s,0.030,1.215,0.918,0.253,0.149,113.238
17,1N4148WS_100V_1.avi:1.13 s,0.030,1.214,0.918,0.253,0.149,113.016
18,1N4148WS_100V_1.avi:1.20 s,0.030,1.215,0.917,0.253,0.149,113.101
19,1N4148WS_100V_1.avi:1.27 s,0.030,1.215,0.918,0.253,0.149,113.318
20,1N4148WS_100V_1.avi:1.33 s,0.030,1.215,0.918,0.254,0.148,113.215
21,1N4148WS_100V_1.avi:1.40 s,0.030,1.215,0.918,0.253,0.149,113.182
22,1N4148WS_100V_1.avi:1.47 s,0.030,1.215,0.917,0.254,0.148,113.274
23,1N4148WS_100V_1.avi:1.53 s,0.029,1.215,0.918,0.253,0.148,113.152
24,1N4148WS_100V_1.avi:1.60 s,0.030,1.215,0.917,0.253,0.149,113.318
25,1N4148WS_100V_1.avi:1.67 s,0.030,1.215,0.918,0.253,0.149,113.447
26,1N4148WS_100V_1.avi:1.73 s,0.030,1.215,0.917,0.253,0.149,113.208
27,1N4148WS_100V_1.avi:1.80 s,0.030,1.215,0.918,0.253,0.149,113.136
28,1N4148WS_100V_1.avi:1.87 s,0.030,1.215,0.918,0.253,0.148,113.196
29,1N4148WS_100V_1.avi:1.93 s,0.030,1.215,0.918,0.253,0.149,113.028
30,1N4148WS_100V_1.avi:2.00 s,0.030,1.215,0.918,0.253,0.149,113.477
31,1N4148WS_100V_1.avi:2.07 s,0.029,1.215,0.918,0.252,0.149,113.222
32,1N4148WS_100V_1.avi:2.13 s,0.030,1.215,0.917,0.254,0.148,113.201
33,1N4148WS_100V_1.avi:2.20 s,0.030,1.215,0.917,0.253,0.149,113.428
34,1N4148WS_100V_1.avi:2.27 s,0.030,1.215,0.918,0.253,0.149,113.323
35,1N4148WS_100V_1.avi:2.33 s,0.030,1.215,0.918,0.253,0.149,113.572
