Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_300V_1.avi:0.07 s,0.031,1.301,0.985,0.258,0.155,52.131
2,1N4148WS_300V_1.avi:0.13 s,0.031,1.301,0.985,0.258,0.155,52.046
3,1N4148WS_300V_1.avi:0.20 s,0.032,1.302,0.985,0.259,0.155,51.937
4,1N4148WS_300V_1.avi:0.27 s,0.031,1.301,0.985,0.258,0.155,52.046
5,1N4148WS_300V_1.avi:0.33 s,0.032,1.301,0.985,0.259,0.155,52.030
6,1N4148WS_300V_1.avi:0.40 s,0.032,1.302,0.985,0.259,0.155,52.169
7,1N4148WS_300V_1.avi:0.47 s,0.032,1.301,0.985,0.259,0.155,51.936
8,1N4148WS_300V_1.avi:0.53 s,0.032,1.302,0.985,0.260,0.155,52.003
9,1N4148WS_300V_1.avi:0.60 s,0.032,1.302,0.985,0.259,0.155,52.065
10,1N4148WS_300V_1.avi:0.67 s,0.031,1.302,0.985,0.259,0.155,52.284
11,1N4148WS_300V_1.avi:0.73 s,0.031,1.301,0.985,0.259,0.155,52.420
12,1N4148WS_300V_1.avi:0.80 s,0.031,1.302,0.985,0.259,0.155,52.284
13,1N4148WS_300V_1.avi:0.87 s,0.031,1.301,0.985,0.258,0.155,52.406
14,1N4148WS_300V_1.avi:0.93 s,0.032,1.301,0.985,0.259,0.155,52.186
15,1N4148WS_300V_1.avi:1.00 s,0.031,1.302,0.985,0.259,0.155,52.430
16,1N4148WS_300V_1.avi:1.07 s,0.031,1.302,0.985,0.259,0.155,52.150
17,1N4148WS_300V_1.avi:1.13 s,0.032,1.301,0.985,0.259,0.156,52.260
18,1N4148WS_300V_1.avi:1.20 s,0.032,1.302,0.985,0.259,0.155,52.233
19,1N4148WS_300V_1.avi:1.27 s,0.032,1.301,0.985,0.259,0.155,52.418
20,1N4148WS_300V_1.avi:1.33 s,0.031,1.301,0.985,0.259,0.155,52.290
21,1N4148WS_300V_1.avi:1.40 s,0.031,1.301,0.985,0.260,0.154,52.433
22,1N4148WS_300V_1.avi:1.47 s,0.031,1.301,0.985,0.259,0.155,52.314
23,1N4148WS_300V_1.avi:1.53 s,0.032,1.301,0.986,0.258,0.156,52.433
24,1N4148WS_300V_1.avi:1.60 s,0.031,1.301,0.985,0.259,0.155,52.294
25,1N4148WS_300V_1.avi:1.67 s,0.031,1.302,0.985,0.258,0.155,52.492
26,1N4148WS_300V_1.avi:1.73 s,0.031,1.302,0.986,0.259,0.155,52.639
27,1N4148WS_300V_1.avi:1.80 s,0.031,1.301,0.985,0.259,0.154,52.498
28,1N4148WS_300V_1.avi:1.87 s,0.031,1.302,0.985,0.260,0.154,52.401
29,1N4148WS_300V_1.avi:1.93 s,0.031,1.301,0.985,0.259,0.154,52.532
30,1N4148WS_300V_1.avi:2.00 s,0.031,1.301,0.985,0.259,0.155,52.491
31,1N4148WS_300V_1.avi:2.07 s,0.031,1.302,0.986,0.259,0.154,52.862
32,1N4148WS_300V_1.avi:2.13 s,0.031,1.301,0.985,0.258,0.155,52.403
33,1N4148WS_300V_1.avi:2.20 s,0.032,1.302,0.985,0.260,0.155,52.365
34,1N4148WS_300V_1.avi:2.27 s,0.031,1.301,0.985,0.259,0.154,52.498
35,1N4148WS_300V_1.avi:2.33 s,0.031,1.301,0.985,0.260,0.154,52.687
36,1N4148WS_300V_1.avi:2.40 s,0.032,1.302,0.985,0.260,0.155,52.491
37,1N4148WS_300V_1.avi:2.47 s,0.031,1.301,0.985,0.259,0.155,52.421
38,1N4148WS_300V_1.avi:2.53 s,0.032,1.301,0.985,0.259,0.155,52.644
39,1N4148WS_300V_1.avi:2.60 s,0.032,1.301,0.985,0.260,0.155,52.696
40,1N4148WS_300V_1.avi:2.67 s,0.031,1.301,0.985,0.259,0.155,52.730
41,1N4148WS_300V_1.avi:2.73 s,0.031,1.301,0.985,0.259,0.155,52.662
42,1N4148WS_300V_1.avi:2.80 s,0.031,1.301,0.985,0.260,0.154,52.554
43,1N4148WS_300V_1.avi:2.87 s,0.031,1.301,0.985,0.259,0.154,52.681
44,1N4148WS_300V_1.avi:2.93 s,0.032,1.302,0.985,0.260,0.155,52.731
45,1N4148WS_300V_1.avi:3.00 s,0.032,1.301,0.985,0.260,0.155,52.747
46,1N4148WS_300V_1.avi:3.07 s,0.032,1.302,0.985,0.260,0.155,52.735
47,1N4148WS_300V_1.avi:3.13 s,0.031,1.301,0.985,0.259,0.155,52.711
48,1N4148WS_300V_1.avi:3.20 s,0.032,1.301,0.986,0.259,0.155,52.674
49,1N4148WS_300V_1.avi:3.27 s,0.031,1.301,0.986,0.259,0.155,52.789
50,1N4148WS_300V_1.avi:3.33 s,0.031,1.301,0.985,0.259,0.155,52.788
51,1N4148WS_300V_1.avi:3.40 s,0.032,1.301,0.985,0.260,0.155,52.681
52,1N4148WS_300V_1.avi:3.47 s,0.032,1.301,0.985,0.260,0.155,52.621
53,1N4148WS_300V_1.avi:3.53 s,0.031,1.302,0.985,0.258,0.155,52.835
